Line,Smell,Cause,Number of Conditions,Threshold,File
288,complex conditional,long if,4,3,../input_projects/java_projects/spring-framework/spring-webflux/src/main/java/org/springframework/web/reactive/function/client/DefaultWebClientBuilder.java
214,complex conditional,long if,18,3,../input_projects/java_projects/spring-framework/spring-webflux/src/main/java/org/springframework/web/reactive/function/client/WebClientResponseException.java
215,complex conditional,long switch,16,3,../input_projects/java_projects/spring-framework/spring-webflux/src/main/java/org/springframework/web/reactive/function/client/WebClientResponseException.java
118,complex conditional,long if,4,3,../input_projects/java_projects/spring-framework/spring-webflux/src/main/java/org/springframework/web/reactive/resource/PathResourceResolver.java
517,complex conditional,long if,4,3,../input_projects/java_projects/spring-framework/spring-webflux/src/main/java/org/springframework/web/reactive/resource/ResourceWebHandler.java
536,complex conditional,long if,4,3,../input_projects/java_projects/spring-framework/spring-webflux/src/main/java/org/springframework/web/reactive/resource/ResourceWebHandler.java
581,complex conditional,long if,4,3,../input_projects/java_projects/spring-framework/spring-webflux/src/main/java/org/springframework/web/reactive/resource/ResourceWebHandler.java
203,complex conditional,long if,15,3,../input_projects/java_projects/spring-framework/spring-webflux/src/main/java/org/springframework/web/reactive/socket/CloseStatus.java
204,complex conditional,long switch,13,3,../input_projects/java_projects/spring-framework/spring-webflux/src/main/java/org/springframework/web/reactive/socket/CloseStatus.java
119,complex conditional,long if,6,3,../input_projects/java_projects/spring-framework/spring-webflux/src/main/java/org/springframework/web/reactive/socket/server/support/HandshakeWebSocketService.java
95,complex conditional,long if,5,3,../input_projects/java_projects/spring-framework/spring-webflux/src/main/java/org/springframework/web/reactive/socket/adapter/JettyWebSocketSession.java
85,complex conditional,long if,5,3,../input_projects/java_projects/spring-framework/spring-webflux/src/main/java/org/springframework/web/reactive/socket/adapter/NettyWebSocketSessionSupport.java
92,complex conditional,long if,4,3,../input_projects/java_projects/spring-framework/spring-webflux/src/main/java/org/springframework/web/reactive/socket/adapter/StandardWebSocketHandlerAdapter.java
88,complex conditional,long if,5,3,../input_projects/java_projects/spring-framework/spring-webflux/src/main/java/org/springframework/web/reactive/socket/adapter/UndertowWebSocketSession.java
113,complex conditional,long if,4,3,../input_projects/java_projects/spring-framework/spring-webflux/src/main/java/org/springframework/web/reactive/socket/adapter/JettyWebSocketHandlerAdapter.java
88,complex conditional,long if,4,3,../input_projects/java_projects/spring-framework/spring-webflux/src/main/java/org/springframework/web/reactive/socket/adapter/UndertowWebSocketHandlerAdapter.java
470,complex conditional,long switch,4,3,../input_projects/java_projects/spring-framework/spring-r2dbc/src/main/java/org/springframework/r2dbc/core/DefaultDatabaseClient.java
121,complex conditional,long if,10,3,../input_projects/java_projects/spring-framework/spring-r2dbc/src/main/java/org/springframework/r2dbc/core/NamedParameterUtils.java
215,complex conditional,long if,8,3,../input_projects/java_projects/spring-framework/spring-r2dbc/src/main/java/org/springframework/r2dbc/core/NamedParameterUtils.java
291,complex conditional,long if,6,3,../input_projects/java_projects/spring-framework/spring-r2dbc/src/main/java/org/springframework/r2dbc/core/NamedParameterUtils.java
391,complex conditional,long if,7,3,../input_projects/java_projects/spring-framework/spring-r2dbc/src/main/java/org/springframework/r2dbc/connection/init/ScriptUtils.java
487,complex conditional,long if,10,3,../input_projects/java_projects/spring-framework/spring-r2dbc/src/main/java/org/springframework/r2dbc/connection/init/ScriptUtils.java
134,complex conditional,long if,5,3,../input_projects/java_projects/spring-framework/spring-r2dbc/src/main/java/org/springframework/r2dbc/connection/TransactionAwareConnectionFactoryProxy.java
254,complex conditional,long switch,4,3,../input_projects/java_projects/spring-framework/spring-r2dbc/src/main/java/org/springframework/r2dbc/connection/SingleConnectionFactory.java
377,complex conditional,long if,4,3,../input_projects/java_projects/spring-framework/spring-r2dbc/src/main/java/org/springframework/r2dbc/connection/R2dbcTransactionManager.java
438,complex conditional,long switch,4,3,../input_projects/java_projects/spring-framework/spring-r2dbc/src/main/java/org/springframework/r2dbc/connection/R2dbcTransactionManager.java
115,complex conditional,long if,4,3,../input_projects/java_projects/spring-framework/spring-r2dbc/src/main/java/org/springframework/r2dbc/connection/ConnectionFactoryUtils.java
213,complex conditional,long if,10,3,../input_projects/java_projects/spring-framework/spring-r2dbc/src/main/java/org/springframework/r2dbc/connection/ConnectionFactoryUtils.java
497,complex conditional,long if,5,3,../input_projects/java_projects/spring-framework/spring-oxm/src/main/java/org/springframework/oxm/jaxb/Jaxb2Marshaller.java
525,complex conditional,long if,4,3,../input_projects/java_projects/spring-framework/spring-oxm/src/main/java/org/springframework/oxm/jaxb/Jaxb2Marshaller.java
610,complex conditional,long if,6,3,../input_projects/java_projects/spring-framework/spring-oxm/src/main/java/org/springframework/oxm/jaxb/Jaxb2Marshaller.java
638,complex conditional,long if,4,3,../input_projects/java_projects/spring-framework/spring-oxm/src/main/java/org/springframework/oxm/jaxb/Jaxb2Marshaller.java
869,complex conditional,long if,5,3,../input_projects/java_projects/spring-framework/spring-oxm/src/main/java/org/springframework/oxm/jaxb/Jaxb2Marshaller.java
944,complex conditional,long if,4,3,../input_projects/java_projects/spring-framework/spring-oxm/src/main/java/org/springframework/oxm/jaxb/Jaxb2Marshaller.java
232,complex conditional,long if,5,3,../input_projects/java_projects/spring-framework/spring-oxm/src/main/java/org/springframework/oxm/support/AbstractMarshaller.java
351,complex conditional,long if,5,3,../input_projects/java_projects/spring-framework/spring-oxm/src/main/java/org/springframework/oxm/support/AbstractMarshaller.java
463,complex conditional,long if,5,3,../input_projects/java_projects/spring-framework/spring-oxm/src/main/java/org/springframework/oxm/support/AbstractMarshaller.java
221,complex conditional,long if,8,3,../input_projects/java_projects/spring-framework/spring-oxm/src/main/java/org/springframework/oxm/jibx/JibxMarshaller.java
488,complex conditional,long if,4,3,../input_projects/java_projects/spring-framework/spring-oxm/src/main/java/org/springframework/oxm/xstream/XStreamMarshaller.java
550,complex conditional,long if,8,3,../input_projects/java_projects/spring-framework/spring-oxm/src/main/java/org/springframework/oxm/xstream/XStreamMarshaller.java
360,complex conditional,long if,10,3,../input_projects/java_projects/spring-framework/spring-orm/src/main/java/org/springframework/orm/jpa/AbstractEntityManagerFactoryBean.java
412,complex conditional,long if,4,3,../input_projects/java_projects/spring-framework/spring-orm/src/main/java/org/springframework/orm/jpa/AbstractEntityManagerFactoryBean.java
714,complex conditional,long switch,5,3,../input_projects/java_projects/spring-framework/spring-orm/src/main/java/org/springframework/orm/jpa/AbstractEntityManagerFactoryBean.java
395,complex conditional,long if,4,3,../input_projects/java_projects/spring-framework/spring-orm/src/main/java/org/springframework/orm/jpa/SharedEntityManagerCreator.java
425,complex conditional,long if,4,3,../input_projects/java_projects/spring-framework/spring-orm/src/main/java/org/springframework/orm/jpa/SharedEntityManagerCreator.java
228,complex conditional,long switch,11,3,../input_projects/java_projects/spring-framework/spring-orm/src/main/java/org/springframework/orm/jpa/SharedEntityManagerCreator.java
274,complex conditional,long switch,5,3,../input_projects/java_projects/spring-framework/spring-orm/src/main/java/org/springframework/orm/jpa/SharedEntityManagerCreator.java
377,complex conditional,long switch,9,3,../input_projects/java_projects/spring-framework/spring-orm/src/main/java/org/springframework/orm/jpa/SharedEntityManagerCreator.java
205,complex conditional,long if,9,3,../input_projects/java_projects/spring-framework/spring-orm/src/main/java/org/springframework/orm/jpa/EntityManagerFactoryUtils.java
