Line,Smell,Number of Parameters,Threshold,File
240,long parameters,6,5,../input_projects/java_projects/spring-framework/spring-messaging/src/test/java/org/springframework/messaging/handler/annotation/support/MessageMethodArgumentResolverTests.java
158,long parameters,7,5,../input_projects/java_projects/spring-framework/spring-messaging/src/test/java/org/springframework/messaging/handler/annotation/support/HeaderMethodArgumentResolverTests.java
179,long parameters,6,5,../input_projects/java_projects/spring-framework/spring-messaging/src/main/java/org/springframework/messaging/handler/invocation/reactive/AbstractEncoderMethodReturnValueHandler.java
373,long parameters,6,5,../input_projects/java_projects/spring-framework/spring-messaging/src/main/java/org/springframework/messaging/simp/config/AbstractMessageBrokerConfiguration.java
67,long parameters,6,5,../input_projects/java_projects/spring-framework/spring-messaging/src/main/java/org/springframework/messaging/rsocket/DefaultRSocketStrategies.java
77,long parameters,7,5,../input_projects/java_projects/spring-framework/spring-messaging/src/main/java/org/springframework/messaging/rsocket/annotation/support/MessagingRSocket.java
184,long parameters,8,5,../input_projects/java_projects/spring-framework/spring-jdbc/src/main/java/org/springframework/jdbc/datasource/init/ScriptUtils.java
224,long parameters,8,5,../input_projects/java_projects/spring-framework/spring-jdbc/src/main/java/org/springframework/jdbc/datasource/init/ScriptUtils.java
455,long parameters,6,5,../input_projects/java_projects/spring-framework/spring-jdbc/src/main/java/org/springframework/jdbc/datasource/init/ScriptUtils.java
594,long parameters,7,5,../input_projects/java_projects/spring-framework/spring-jdbc/src/main/java/org/springframework/jdbc/datasource/init/ScriptUtils.java
631,long parameters,7,5,../input_projects/java_projects/spring-framework/spring-jdbc/src/main/java/org/springframework/jdbc/datasource/init/ScriptUtils.java
203,long parameters,6,5,../input_projects/java_projects/spring-framework/spring-jdbc/src/main/java/org/springframework/jdbc/core/StatementCreatorUtils.java
294,long parameters,6,5,../input_projects/java_projects/spring-framework/spring-jdbc/src/main/java/org/springframework/jdbc/core/StatementCreatorUtils.java
192,long parameters,6,5,../input_projects/java_projects/spring-framework/spring-jdbc/src/main/java/org/springframework/jdbc/core/namedparam/NamedParameterUtils.java
62,long parameters,6,5,../input_projects/java_projects/spring-framework/spring-jdbc/src/main/java/org/springframework/jdbc/core/metadata/CallParameterMetaData.java
128,long parameters,6,5,../input_projects/java_projects/spring-framework/spring-expression/src/main/java/org/springframework/expression/spel/SpelParserConfiguration.java
416,long parameters,6,5,../input_projects/java_projects/spring-framework/spring-expression/src/main/java/org/springframework/expression/spel/support/ReflectivePropertyAccessor.java
660,long parameters,6,5,../input_projects/java_projects/spring-framework/spring-expression/src/main/java/org/springframework/expression/spel/ast/Indexer.java
353,long parameters,6,5,../input_projects/java_projects/spring-framework/spring-tx/src/main/java/org/springframework/transaction/jta/WebSphereUowTransactionManager.java
