Line,Smell,Number of Lines,Threshold_nol,Number of Children,Threshold_noc,File
538,long class,242,200,19,20,../input_projects/py_projects/django/tests/backends/tests.py
15,long class,236,200,12,20,../input_projects/py_projects/django/tests/inspectdb/tests.py
34,long class,223,200,21,20,../input_projects/py_projects/django/tests/signals/tests.py
86,long class,318,200,22,20,../input_projects/py_projects/django/tests/file_storage/tests.py
21,long class,95,200,21,20,../input_projects/py_projects/django/tests/template_loader/tests.py
39,long class,344,200,29,20,../input_projects/py_projects/django/tests/messages_tests/base.py
22,long class,237,200,17,20,../input_projects/py_projects/django/tests/select_for_update/tests.py
44,long class,1134,200,73,20,../input_projects/py_projects/django/tests/queries/tests.py
1316,long class,253,200,16,20,../input_projects/py_projects/django/tests/queries/tests.py
145,long class,287,200,24,20,../input_projects/py_projects/django/tests/basic/tests.py
14,long class,700,200,22,20,../input_projects/py_projects/django/tests/lookup/tests.py
36,long class,283,200,29,20,../input_projects/py_projects/django/tests/admin_validation/tests.py
12,long class,602,200,25,20,../input_projects/py_projects/django/tests/invalid_models_tests/test_relative_fields.py
19,long class,271,200,15,20,../input_projects/py_projects/django/tests/contenttypes_tests/test_models.py
26,long class,499,200,39,20,../input_projects/py_projects/django/tests/requests/tests.py
528,long class,215,200,4,20,../input_projects/py_projects/django/tests/requests/tests.py
90,long class,692,200,44,20,../input_projects/py_projects/django/tests/admin_views/tests.py
1070,long class,699,200,22,20,../input_projects/py_projects/django/tests/admin_views/tests.py
2197,long class,381,200,17,20,../input_projects/py_projects/django/tests/admin_views/tests.py
2754,long class,272,200,21,20,../input_projects/py_projects/django/tests/admin_views/tests.py
3073,long class,245,200,9,20,../input_projects/py_projects/django/tests/admin_views/tests.py
3367,long class,313,200,7,20,../input_projects/py_projects/django/tests/admin_views/tests.py
3789,long class,216,200,6,20,../input_projects/py_projects/django/tests/admin_views/tests.py
4877,long class,275,200,17,20,../input_projects/py_projects/django/tests/admin_views/tests.py
38,long class,326,200,26,20,../input_projects/py_projects/django/tests/annotations/tests.py
28,long class,1410,200,71,20,../input_projects/py_projects/django/tests/schema/tests.py
1350,long class,338,200,40,20,../input_projects/py_projects/django/tests/admin_scripts/tests.py
1763,long class,211,200,15,20,../input_projects/py_projects/django/tests/admin_scripts/tests.py
55,long class,407,200,20,20,../input_projects/py_projects/django/tests/syndication_tests/tests.py
22,long class,196,200,22,20,../input_projects/py_projects/django/tests/transactions/tests.py
22,long class,840,200,26,20,../input_projects/py_projects/django/tests/multiple_database/tests.py
890,long class,579,200,15,20,../input_projects/py_projects/django/tests/multiple_database/tests.py
1838,long class,219,200,18,20,../input_projects/py_projects/django/tests/multiple_database/tests.py
14,long class,499,200,28,20,../input_projects/py_projects/django/tests/custom_managers/tests.py
14,long class,236,200,23,20,../input_projects/py_projects/django/tests/utils_tests/test_html.py
21,long class,215,200,15,20,../input_projects/py_projects/django/tests/utils_tests/test_text.py
22,long class,184,200,22,20,../input_projects/py_projects/django/tests/utils_tests/test_lazyobject.py
9,long class,132,200,21,20,../input_projects/py_projects/django/tests/utils_tests/test_termcolors.py
29,long class,216,200,15,20,../input_projects/py_projects/django/tests/httpwrappers/tests.py
