Line,Smell,Number of Lines,Threshold,File
4780,long method,135,100,../input_projects/py_projects/pandas/pandas/core/series.py
4985,long method,104,100,../input_projects/py_projects/pandas/pandas/core/series.py
5250,long method,105,100,../input_projects/py_projects/pandas/pandas/core/series.py
5648,long method,113,100,../input_projects/py_projects/pandas/pandas/core/series.py
614,long method,120,100,../input_projects/py_projects/pandas/pandas/core/dtypes/cast.py
985,long method,169,100,../input_projects/py_projects/pandas/pandas/core/dtypes/cast.py
1602,long method,117,100,../input_projects/py_projects/pandas/pandas/core/dtypes/cast.py
1760,long method,178,100,../input_projects/py_projects/pandas/pandas/core/dtypes/cast.py
190,long method,158,100,../input_projects/py_projects/pandas/pandas/core/dtypes/concat.py
717,long method,159,100,../input_projects/py_projects/pandas/pandas/core/groupby/generic.py
2265,long method,111,100,../input_projects/py_projects/pandas/pandas/core/groupby/generic.py
2378,long method,144,100,../input_projects/py_projects/pandas/pandas/core/groupby/generic.py
355,long method,155,100,../input_projects/py_projects/pandas/pandas/core/groupby/ops.py
527,long method,103,100,../input_projects/py_projects/pandas/pandas/core/groupby/grouper.py
846,long method,231,100,../input_projects/py_projects/pandas/pandas/core/groupby/grouper.py
1023,long method,104,100,../input_projects/py_projects/pandas/pandas/core/groupby/groupby.py
2542,long method,104,100,../input_projects/py_projects/pandas/pandas/core/groupby/groupby.py
2651,long method,102,100,../input_projects/py_projects/pandas/pandas/core/groupby/groupby.py
2756,long method,141,100,../input_projects/py_projects/pandas/pandas/core/groupby/groupby.py
3615,long method,130,100,../input_projects/py_projects/pandas/pandas/core/groupby/groupby.py
3748,long method,137,100,../input_projects/py_projects/pandas/pandas/core/groupby/groupby.py
4338,long method,225,100,../input_projects/py_projects/pandas/pandas/core/groupby/groupby.py
4711,long method,103,100,../input_projects/py_projects/pandas/pandas/core/groupby/groupby.py
5090,long method,153,100,../input_projects/py_projects/pandas/pandas/core/groupby/groupby.py
5348,long method,111,100,../input_projects/py_projects/pandas/pandas/core/groupby/groupby.py
5664,long method,126,100,../input_projects/py_projects/pandas/pandas/core/groupby/groupby.py
5792,long method,105,100,../input_projects/py_projects/pandas/pandas/core/groupby/groupby.py
94,long method,105,100,../input_projects/py_projects/pandas/pandas/core/internals/concat.py
237,long method,165,100,../input_projects/py_projects/pandas/pandas/core/internals/construction.py
829,long method,117,100,../input_projects/py_projects/pandas/pandas/core/internals/blocks.py
1022,long method,145,100,../input_projects/py_projects/pandas/pandas/core/internals/blocks.py
1524,long method,117,100,../input_projects/py_projects/pandas/pandas/core/internals/blocks.py
708,long method,138,100,../input_projects/py_projects/pandas/pandas/core/internals/managers.py
1066,long method,148,100,../input_projects/py_projects/pandas/pandas/core/internals/managers.py
170,long method,245,100,../input_projects/py_projects/pandas/pandas/core/computation/eval.py
17,long method,129,100,../input_projects/py_projects/pandas/pandas/core/window/common.py
371,long method,121,100,../input_projects/py_projects/pandas/pandas/core/arrays/categorical.py
1030,long method,104,100,../input_projects/py_projects/pandas/pandas/core/arrays/categorical.py
1463,long method,109,100,../input_projects/py_projects/pandas/pandas/core/arrays/categorical.py
275,long method,158,100,../input_projects/py_projects/pandas/pandas/core/arrays/arrow/accessors.py
1598,long method,126,100,../input_projects/py_projects/pandas/pandas/core/arrays/arrow/array.py
398,long method,122,100,../input_projects/py_projects/pandas/pandas/core/arrays/datetimes.py
924,long method,182,100,../input_projects/py_projects/pandas/pandas/core/arrays/datetimes.py
2184,long method,123,100,../input_projects/py_projects/pandas/pandas/core/arrays/datetimes.py
2712,long method,108,100,../input_projects/py_projects/pandas/pandas/core/arrays/datetimes.py
156,long method,105,100,../input_projects/py_projects/pandas/pandas/core/arrays/sparse/array.py
364,long method,131,100,../input_projects/py_projects/pandas/pandas/core/arrays/sparse/array.py
683,long method,242,100,../input_projects/py_projects/pandas/pandas/core/frame.py
1645,long method,116,100,../input_projects/py_projects/pandas/pandas/core/frame.py
1794,long method,125,100,../input_projects/py_projects/pandas/pandas/core/frame.py
2054,long method,112,100,../input_projects/py_projects/pandas/pandas/core/frame.py
2171,long method,133,100,../input_projects/py_projects/pandas/pandas/core/frame.py
2307,long method,225,100,../input_projects/py_projects/pandas/pandas/core/frame.py
2534,long method,158,100,../input_projects/py_projects/pandas/pandas/core/frame.py
2748,long method,147,100,../input_projects/py_projects/pandas/pandas/core/frame.py
3269,long method,108,100,../input_projects/py_projects/pandas/pandas/core/frame.py
3432,long method,199,100,../input_projects/py_projects/pandas/pandas/core/frame.py
3755,long method,182,100,../input_projects/py_projects/pandas/pandas/core/frame.py
4668,long method,156,100,../input_projects/py_projects/pandas/pandas/core/frame.py
4834,long method,103,100,../input_projects/py_projects/pandas/pandas/core/frame.py
4939,long method,141,100,../input_projects/py_projects/pandas/pandas/core/frame.py
5420,long method,156,100,../input_projects/py_projects/pandas/pandas/core/frame.py
5623,long method,140,100,../input_projects/py_projects/pandas/pandas/core/frame.py
5843,long method,111,100,../input_projects/py_projects/pandas/pandas/core/frame.py
5980,long method,202,100,../input_projects/py_projects/pandas/pandas/core/frame.py
6226,long method,244,100,../input_projects/py_projects/pandas/pandas/core/frame.py
