Line,Smell,Number of Lines,Threshold_nol,Number of Children,Threshold_noc,File
1564,long class,940,200,21,20,../input_projects/py_projects/pandas/pandas/core/indexing.py
284,long class,1107,200,33,20,../input_projects/py_projects/pandas/pandas/core/base.py
118,long class,588,200,18,20,../input_projects/py_projects/pandas/pandas/core/apply.py
770,long class,361,200,23,20,../input_projects/py_projects/pandas/pandas/core/apply.py
203,long class,731,200,36,20,../input_projects/py_projects/pandas/pandas/core/indexes/interval.py
54,long class,209,200,8,20,../input_projects/py_projects/pandas/pandas/core/indexes/timedeltas.py
66,long class,1121,200,60,20,../input_projects/py_projects/pandas/pandas/core/indexes/range.py
131,long class,687,200,26,20,../input_projects/py_projects/pandas/pandas/core/indexes/datetimes.py
227,long class,3807,200,111,20,../input_projects/py_projects/pandas/pandas/core/indexes/multi.py
86,long class,458,200,23,20,../input_projects/py_projects/pandas/pandas/core/indexes/period.py
87,long class,340,200,24,20,../input_projects/py_projects/pandas/pandas/core/indexes/datetimelike.py
430,long class,413,200,26,20,../input_projects/py_projects/pandas/pandas/core/indexes/datetimelike.py
320,long class,7230,200,232,20,../input_projects/py_projects/pandas/pandas/core/indexes/base.py
79,long class,434,200,16,20,../input_projects/py_projects/pandas/pandas/core/indexes/category.py
1568,long class,428,200,12,20,../input_projects/py_projects/pandas/pandas/io/parsers/readers.py
71,long class,1127,200,29,20,../input_projects/py_projects/pandas/pandas/io/parsers/python_parser.py
101,long class,1019,200,31,20,../input_projects/py_projects/pandas/pandas/io/parsers/base_parser.py
32,long class,271,200,7,20,../input_projects/py_projects/pandas/pandas/io/parsers/arrow_parser_wrapper.py
56,long class,296,200,6,20,../input_projects/py_projects/pandas/pandas/io/parsers/c_parser_wrapper.py
129,long class,3602,200,52,20,../input_projects/py_projects/pandas/pandas/io/formats/style.py
38,long class,558,200,23,20,../input_projects/py_projects/pandas/pandas/io/formats/html.py
48,long class,304,200,13,20,../input_projects/py_projects/pandas/pandas/io/formats/xml.py
415,long class,450,200,34,20,../input_projects/py_projects/pandas/pandas/io/formats/format.py
109,long class,390,200,28,20,../input_projects/py_projects/pandas/pandas/io/formats/excel.py
502,long class,460,200,13,20,../input_projects/py_projects/pandas/pandas/io/formats/excel.py
67,long class,1492,200,21,20,../input_projects/py_projects/pandas/pandas/io/formats/style_render.py
127,long class,294,200,10,20,../input_projects/py_projects/pandas/pandas/io/formats/css.py
56,long class,274,200,27,20,../input_projects/py_projects/pandas/pandas/io/formats/csvs.py
485,long class,1434,200,45,20,../input_projects/py_projects/pandas/pandas/io/pytables.py
2034,long class,293,200,25,20,../input_projects/py_projects/pandas/pandas/io/pytables.py
2359,long class,281,200,18,20,../input_projects/py_projects/pandas/pandas/io/pytables.py
2674,long class,169,200,25,20,../input_projects/py_projects/pandas/pandas/io/pytables.py
2846,long class,354,200,18,20,../input_projects/py_projects/pandas/pandas/io/pytables.py
3342,long class,996,200,41,20,../input_projects/py_projects/pandas/pandas/io/pytables.py
4371,long class,224,200,4,20,../input_projects/py_projects/pandas/pandas/io/pytables.py
154,long class,422,200,16,20,../input_projects/py_projects/pandas/pandas/io/html.py
40,long class,490,200,15,20,../input_projects/py_projects/pandas/pandas/io/excel/_openpyxl.py
543,long class,381,200,14,20,../input_projects/py_projects/pandas/pandas/io/excel/_base.py
928,long class,430,200,18,20,../input_projects/py_projects/pandas/pandas/io/excel/_base.py
1435,long class,224,200,8,20,../input_projects/py_projects/pandas/pandas/io/excel/_base.py
31,long class,326,200,11,20,../input_projects/py_projects/pandas/pandas/io/excel/_odswriter.py
31,long class,222,200,12,20,../input_projects/py_projects/pandas/pandas/io/excel/_odfreader.py
66,long class,358,200,7,20,../input_projects/py_projects/pandas/pandas/io/xml.py
818,long class,304,200,17,20,../input_projects/py_projects/pandas/pandas/io/json/_json.py
1125,long class,239,200,8,20,../input_projects/py_projects/pandas/pandas/io/json/_json.py
136,long class,620,200,28,20,../input_projects/py_projects/pandas/pandas/io/sas/sas7bdat.py
254,long class,254,200,9,20,../input_projects/py_projects/pandas/pandas/io/sas/sas_xport.py
922,long class,518,200,17,20,../input_projects/py_projects/pandas/pandas/io/sql.py
1602,long class,481,200,15,20,../input_projects/py_projects/pandas/pandas/io/sql.py
2089,long class,345,200,8,20,../input_projects/py_projects/pandas/pandas/io/sql.py
2640,long class,249,200,11,20,../input_projects/py_projects/pandas/pandas/io/sql.py
1116,long class,956,200,44,20,../input_projects/py_projects/pandas/pandas/io/stata.py
2254,long class,715,200,32,20,../input_projects/py_projects/pandas/pandas/io/stata.py
3204,long class,378,200,20,20,../input_projects/py_projects/pandas/pandas/io/stata.py
159,long class,249,200,20,20,../input_projects/py_projects/pandas/pandas/tseries/frequencies.py
146,long class,227,200,5,20,../input_projects/py_projects/pandas/pandas/tseries/holiday.py
17,long class,531,200,21,20,../input_projects/py_projects/pandas/pandas/tests/series/test_logical_ops.py
14,long class,257,200,10,20,../input_projects/py_projects/pandas/pandas/tests/series/methods/test_value_counts.py
12,long class,206,200,6,20,../input_projects/py_projects/pandas/pandas/tests/series/methods/test_sort_values.py
15,long class,232,200,15,20,../input_projects/py_projects/pandas/pandas/tests/series/methods/test_quantile.py
110,long class,382,200,28,20,../input_projects/py_projects/pandas/pandas/tests/series/methods/test_astype.py
31,long class,913,200,32,20,../input_projects/py_projects/pandas/pandas/tests/series/methods/test_fillna.py
57,long class,346,200,13,20,../input_projects/py_projects/pandas/pandas/tests/series/methods/test_rank.py
13,long class,800,200,54,20,../input_projects/py_projects/pandas/pandas/tests/series/methods/test_replace.py
80,long class,788,200,51,20,../input_projects/py_projects/pandas/pandas/tests/series/methods/test_interpolate.py
52,long class,2119,200,161,20,../input_projects/py_projects/pandas/pandas/tests/series/test_constructors.py
78,long class,698,200,37,20,../input_projects/py_projects/pandas/pandas/tests/series/accessors/test_dt_accessor.py
19,long class,239,200,9,20,../input_projects/py_projects/pandas/pandas/tests/series/accessors/test_cat_accessor.py
25,long class,265,200,27,20,../input_projects/py_projects/pandas/pandas/tests/series/test_formats.py
293,long class,284,200,11,20,../input_projects/py_projects/pandas/pandas/tests/series/test_formats.py
19,long class,274,200,24,20,../input_projects/py_projects/pandas/pandas/tests/series/test_api.py
160,long class,209,200,17,20,../input_projects/py_projects/pandas/pandas/tests/series/test_arithmetic.py
430,long class,296,200,13,20,../input_projects/py_projects/pandas/pandas/tests/series/test_arithmetic.py
16,long class,257,200,12,20,../input_projects/py_projects/pandas/pandas/tests/reshape/concat/test_categorical.py
20,long class,369,200,18,20,../input_projects/py_projects/pandas/pandas/tests/reshape/concat/test_append.py
30,long class,506,200,28,20,../input_projects/py_projects/pandas/pandas/tests/reshape/concat/test_concat.py
210,long class,262,200,14,20,../input_projects/py_projects/pandas/pandas/tests/reshape/concat/test_index.py
15,long class,280,200,19,20,../input_projects/py_projects/pandas/pandas/tests/reshape/concat/test_empty.py
23,long class,263,200,11,20,../input_projects/py_projects/pandas/pandas/tests/reshape/concat/test_datetimes.py
289,long class,213,200,14,20,../input_projects/py_projects/pandas/pandas/tests/reshape/concat/test_datetimes.py
55,long class,698,200,19,20,../input_projects/py_projects/pandas/pandas/tests/reshape/concat/test_append_common.py
14,long class,216,200,13,20,../input_projects/py_projects/pandas/pandas/tests/reshape/concat/test_dataframe.py
33,long class,710,200,40,20,../input_projects/py_projects/pandas/pandas/tests/reshape/test_get_dummies.py
15,long class,350,200,21,20,../input_projects/py_projects/pandas/pandas/tests/reshape/test_union_categoricals.py
29,long class,3351,200,67,20,../input_projects/py_projects/pandas/pandas/tests/reshape/merge/test_merge_asof.py
35,long class,790,200,41,20,../input_projects/py_projects/pandas/pandas/tests/reshape/merge/test_join.py
111,long class,1360,200,63,20,../input_projects/py_projects/pandas/pandas/tests/reshape/merge/test_merge.py
1486,long class,364,200,14,20,../input_projects/py_projects/pandas/pandas/tests/reshape/merge/test_merge.py
1875,long class,275,200,11,20,../input_projects/py_projects/pandas/pandas/tests/reshape/merge/test_merge.py
75,long class,741,200,22,20,../input_projects/py_projects/pandas/pandas/tests/reshape/merge/test_multi.py
24,long class,220,200,13,20,../input_projects/py_projects/pandas/pandas/tests/reshape/merge/test_merge_ordered.py
44,long class,2433,200,84,20,../input_projects/py_projects/pandas/pandas/tests/reshape/test_pivot.py
2480,long class,234,200,14,20,../input_projects/py_projects/pandas/pandas/tests/reshape/test_pivot.py
54,long class,483,200,28,20,../input_projects/py_projects/pandas/pandas/tests/reshape/test_melt.py
540,long class,225,200,1,20,../input_projects/py_projects/pandas/pandas/tests/reshape/test_melt.py
768,long class,454,200,19,20,../input_projects/py_projects/pandas/pandas/tests/reshape/test_melt.py
69,long class,790,200,30,20,../input_projects/py_projects/pandas/pandas/tests/reshape/test_crosstab.py
104,long class,362,200,15,20,../input_projects/py_projects/pandas/pandas/tests/test_expressions.py
23,long class,299,200,29,20,../input_projects/py_projects/pandas/pandas/tests/tools/test_to_timedelta.py
73,long class,499,200,26,20,../input_projects/py_projects/pandas/pandas/tests/tools/test_to_datetime.py
575,long class,1275,200,66,20,../input_projects/py_projects/pandas/pandas/tests/tools/test_to_datetime.py
1853,long class,295,200,20,20,../input_projects/py_projects/pandas/pandas/tests/tools/test_to_datetime.py
2353,long class,483,200,36,20,../input_projects/py_projects/pandas/pandas/tests/tools/test_to_datetime.py
3067,long class,231,200,6,20,../input_projects/py_projects/pandas/pandas/tests/tools/test_to_datetime.py
68,long class,222,200,20,20,../input_projects/py_projects/pandas/pandas/tests/extension/decimal/test_decimal.py
69,long class,231,200,25,20,../input_projects/py_projects/pandas/pandas/tests/extension/decimal/array.py
171,long class,242,200,11,20,../input_projects/py_projects/pandas/pandas/tests/extension/test_masked.py
101,long class,393,200,40,20,../input_projects/py_projects/pandas/pandas/tests/extension/test_sparse.py
81,long class,346,200,49,20,../input_projects/py_projects/pandas/pandas/tests/extension/json/test_json.py
168,long class,254,200,34,20,../input_projects/py_projects/pandas/pandas/tests/extension/test_numpy.py
269,long class,859,200,44,20,../input_projects/py_projects/pandas/pandas/tests/extension/test_arrow.py
12,long class,367,200,20,20,../input_projects/py_projects/pandas/pandas/tests/extension/base/reshaping.py
18,long class,702,200,51,20,../input_projects/py_projects/pandas/pandas/tests/extension/base/methods.py
8,long class,443,200,39,20,../input_projects/py_projects/pandas/pandas/tests/extension/base/setitem.py
13,long class,110,200,21,20,../input_projects/py_projects/pandas/pandas/tests/extension/base/dtype.py
8,long class,461,200,32,20,../input_projects/py_projects/pandas/pandas/tests/extension/base/getitem.py
19,long class,278,200,17,20,../input_projects/py_projects/pandas/pandas/tests/extension/base/dim2.py
69,long class,980,200,56,20,../input_projects/py_projects/pandas/pandas/tests/resample/test_period_index.py
10,long class,427,200,26,20,../input_projects/py_projects/pandas/pandas/tests/config/test_config.py
399,long class,298,200,16,20,../input_projects/py_projects/pandas/pandas/tests/io/test_parquet.py
700,long class,454,200,34,20,../input_projects/py_projects/pandas/pandas/tests/io/test_parquet.py
1157,long class,267,200,22,20,../input_projects/py_projects/pandas/pandas/tests/io/test_parquet.py
58,long class,336,200,18,20,../input_projects/py_projects/pandas/pandas/tests/io/test_common.py
510,long class,448,200,24,20,../input_projects/py_projects/pandas/pandas/tests/io/formats/test_to_string.py
961,long class,255,200,17,20,../input_projects/py_projects/pandas/pandas/tests/io/formats/test_to_string.py
446,long class,319,200,17,20,../input_projects/py_projects/pandas/pandas/tests/io/formats/test_to_latex.py
1009,long class,416,200,19,20,../input_projects/py_projects/pandas/pandas/tests/io/formats/test_to_latex.py
832,long class,219,200,14,20,../input_projects/py_projects/pandas/pandas/tests/io/formats/test_to_html.py
473,long class,966,200,69,20,../input_projects/py_projects/pandas/pandas/tests/io/formats/style/test_style.py
19,long class,235,200,9,20,../input_projects/py_projects/pandas/pandas/tests/io/formats/test_eng_formatting.py
144,long class,1227,200,49,20,../input_projects/py_projects/pandas/pandas/tests/io/formats/test_format.py
1383,long class,489,200,17,20,../input_projects/py_projects/pandas/pandas/tests/io/formats/test_format.py
19,long class,697,200,35,20,../input_projects/py_projects/pandas/pandas/tests/io/formats/test_to_csv.py
159,long class,1308,200,71,20,../input_projects/py_projects/pandas/pandas/tests/io/excel/test_readers.py
1470,long class,281,200,19,20,../input_projects/py_projects/pandas/pandas/tests/io/excel/test_readers.py
94,long class,256,200,9,20,../input_projects/py_projects/pandas/pandas/tests/io/excel/test_writers.py
375,long class,1027,200,55,20,../input_projects/py_projects/pandas/pandas/tests/io/excel/test_writers.py
196,long class,227,200,14,20,../input_projects/py_projects/pandas/pandas/tests/io/test_clipboard.py
57,long class,1902,200,86,20,../input_projects/py_projects/pandas/pandas/tests/io/test_stata.py
112,long class,1545,200,97,20,../input_projects/py_projects/pandas/pandas/tests/io/test_html.py
27,long class,310,200,27,20,../input_projects/py_projects/pandas/pandas/tests/io/parser/test_textreader.py
79,long class,248,200,18,20,../input_projects/py_projects/pandas/pandas/tests/io/parser/test_network.py
228,long class,445,200,20,20,../input_projects/py_projects/pandas/pandas/tests/io/json/test_json_table_schema.py
55,long class,648,200,67,20,../input_projects/py_projects/pandas/pandas/tests/io/json/test_ujson.py
831,long class,256,200,19,20,../input_projects/py_projects/pandas/pandas/tests/io/json/test_ujson.py
96,long class,2034,200,124,20,../input_projects/py_projects/pandas/pandas/tests/io/json/test_pandas.py
140,long class,443,200,25,20,../input_projects/py_projects/pandas/pandas/tests/io/json/test_normalize.py
586,long class,321,200,14,20,../input_projects/py_projects/pandas/pandas/tests/io/json/test_normalize.py
22,long class,230,200,18,20,../input_projects/py_projects/pandas/pandas/tests/io/test_feather.py
297,long class,216,200,6,20,../input_projects/py_projects/pandas/pandas/tests/tseries/offsets/test_fiscal.py
91,long class,906,200,23,20,../input_projects/py_projects/pandas/pandas/tests/tseries/offsets/test_business_hour.py
1000,long class,445,200,1,20,../input_projects/py_projects/pandas/pandas/tests/tseries/offsets/test_business_hour.py
33,long class,248,200,5,20,../input_projects/py_projects/pandas/pandas/tests/tseries/offsets/test_month.py
284,long class,228,200,5,20,../input_projects/py_projects/pandas/pandas/tests/tseries/offsets/test_month.py
53,long class,258,200,17,20,../input_projects/py_projects/pandas/pandas/tests/tseries/offsets/test_custom_business_hour.py
180,long class,413,200,17,20,../input_projects/py_projects/pandas/pandas/tests/tseries/offsets/test_offsets.py
34,long class,380,200,18,20,../input_projects/py_projects/pandas/pandas/tests/frame/test_block_internals.py
17,long class,201,200,12,20,../input_projects/py_projects/pandas/pandas/tests/frame/test_logical_ops.py
226,long class,1346,200,70,20,../input_projects/py_projects/pandas/pandas/tests/frame/test_reductions.py
19,long class,745,200,42,20,../input_projects/py_projects/pandas/pandas/tests/frame/methods/test_shift.py
13,long class,212,200,9,20,../input_projects/py_projects/pandas/pandas/tests/frame/methods/test_round.py
19,long class,383,200,18,20,../input_projects/py_projects/pandas/pandas/tests/frame/methods/test_combine_first.py
19,long class,504,200,19,20,../input_projects/py_projects/pandas/pandas/tests/frame/methods/test_to_records.py
16,long class,627,200,23,20,../input_projects/py_projects/pandas/pandas/tests/frame/methods/test_sort_values.py
36,long class,608,200,27,20,../input_projects/py_projects/pandas/pandas/tests/frame/methods/test_reset_index.py
15,long class,402,200,17,20,../input_projects/py_projects/pandas/pandas/tests/frame/methods/test_describe.py
20,long class,207,200,10,20,../input_projects/py_projects/pandas/pandas/tests/frame/methods/test_between_time.py
22,long class,768,200,29,20,../input_projects/py_projects/pandas/pandas/tests/frame/methods/test_quantile.py
14,long class,294,200,23,20,../input_projects/py_projects/pandas/pandas/tests/frame/methods/test_diff.py
35,long class,796,200,40,20,../input_projects/py_projects/pandas/pandas/tests/frame/methods/test_astype.py
15,long class,270,200,15,20,../input_projects/py_projects/pandas/pandas/tests/frame/methods/test_dropna.py
17,long class,213,200,11,20,../input_projects/py_projects/pandas/pandas/tests/frame/methods/test_values.py
16,long class,468,200,22,20,../input_projects/py_projects/pandas/pandas/tests/frame/methods/test_align.py
13,long class,214,200,14,20,../input_projects/py_projects/pandas/pandas/tests/frame/methods/test_isin.py
16,long class,399,200,21,20,../input_projects/py_projects/pandas/pandas/tests/frame/methods/test_rename.py
24,long class,798,200,42,20,../input_projects/py_projects/pandas/pandas/tests/frame/methods/test_fillna.py
18,long class,810,200,29,20,../input_projects/py_projects/pandas/pandas/tests/frame/methods/test_sort_index.py
69,long class,477,200,24,20,../input_projects/py_projects/pandas/pandas/tests/frame/methods/test_drop.py
56,long class,487,200,21,20,../input_projects/py_projects/pandas/pandas/tests/frame/methods/test_set_index.py
25,long class,499,200,23,20,../input_projects/py_projects/pandas/pandas/tests/frame/methods/test_to_dict.py
22,long class,488,200,20,20,../input_projects/py_projects/pandas/pandas/tests/frame/methods/test_rank.py
32,long class,1597,200,74,20,../input_projects/py_projects/pandas/pandas/tests/frame/methods/test_replace.py
52,long class,417,200,21,20,../input_projects/py_projects/pandas/pandas/tests/frame/methods/test_select_dtypes.py
21,long class,242,200,17,20,../input_projects/py_projects/pandas/pandas/tests/frame/methods/test_asfreq.py
18,long class,530,200,28,20,../input_projects/py_projects/pandas/pandas/tests/frame/methods/test_interpolate.py
130,long class,1197,200,50,20,../input_projects/py_projects/pandas/pandas/tests/frame/methods/test_reindex.py
29,long class,1377,200,60,20,../input_projects/py_projects/pandas/pandas/tests/frame/methods/test_to_csv.py
78,long class,2708,200,184,20,../input_projects/py_projects/pandas/pandas/tests/frame/test_constructors.py
2896,long class,223,200,15,20,../input_projects/py_projects/pandas/pandas/tests/frame/test_constructors.py
395,long class,374,200,27,20,../input_projects/py_projects/pandas/pandas/tests/frame/test_query_eval.py
935,long class,218,200,10,20,../input_projects/py_projects/pandas/pandas/tests/frame/test_query_eval.py
1182,long class,243,200,30,20,../input_projects/py_projects/pandas/pandas/tests/frame/test_query_eval.py
28,long class,719,200,40,20,../input_projects/py_projects/pandas/pandas/tests/frame/test_subclass.py
25,long class,480,200,33,20,../input_projects/py_projects/pandas/pandas/tests/frame/constructors/test_from_records.py
18,long class,210,200,11,20,../input_projects/py_projects/pandas/pandas/tests/frame/constructors/test_from_dict.py
