Line,Smell,Number of Lines,Threshold,File
37,long method,177,100,../input_projects/multi_projects/zulip/web/tests/lib/zjquery.js
5,long method,115,100,../input_projects/multi_projects/zulip/web/tests/lib/zblueslip.js
79,long method,121,100,../input_projects/multi_projects/zulip/web/tests/widgetize.test.js
64,long method,115,100,../input_projects/multi_projects/zulip/web/tests/fetch_status.test.js
90,long method,121,100,../input_projects/multi_projects/zulip/web/tests/peer_data.test.js
275,long method,108,100,../input_projects/multi_projects/zulip/web/tests/activity.test.js
155,long method,150,100,../input_projects/multi_projects/zulip/web/tests/compose_validate.test.js
29,long method,295,100,../input_projects/multi_projects/zulip/web/tests/typing_status.test.js
50,long method,131,100,../input_projects/multi_projects/zulip/web/tests/upload.test.js
208,long method,136,100,../input_projects/multi_projects/zulip/web/tests/upload.test.js
504,long method,138,100,../input_projects/multi_projects/zulip/web/tests/upload.test.js
74,long method,217,100,../input_projects/multi_projects/zulip/web/tests/user_events.test.js
100,long method,218,100,../input_projects/multi_projects/zulip/web/tests/recent_senders.test.js
82,long method,138,100,../input_projects/multi_projects/zulip/web/tests/settings_profile_fields.test.js
65,long method,105,100,../input_projects/multi_projects/zulip/web/tests/stream_search.test.js
12,long method,122,100,../input_projects/multi_projects/zulip/web/tests/user_groups.test.js
248,long method,161,100,../input_projects/multi_projects/zulip/web/tests/user_groups.test.js
30,long method,148,100,../input_projects/multi_projects/zulip/web/tests/poll_widget.test.js
209,long method,113,100,../input_projects/multi_projects/zulip/web/tests/poll_widget.test.js
126,long method,147,100,../input_projects/multi_projects/zulip/web/tests/typeahead_helper.test.js
43,long method,137,100,../input_projects/multi_projects/zulip/web/tests/topic_generator.test.js
302,long method,323,100,../input_projects/multi_projects/zulip/web/tests/markdown.test.js
717,long method,143,100,../input_projects/multi_projects/zulip/web/tests/markdown.test.js
257,long method,109,100,../input_projects/multi_projects/zulip/web/tests/message_edit.test.js
11,long method,117,100,../input_projects/multi_projects/zulip/web/tests/copy_and_paste.test.js
193,long method,104,100,../input_projects/multi_projects/zulip/web/tests/pm_list_data.test.js
66,long method,137,100,../input_projects/multi_projects/zulip/web/tests/stream_data.test.js
515,long method,155,100,../input_projects/multi_projects/zulip/web/tests/stream_data.test.js
17,long method,138,100,../input_projects/multi_projects/zulip/web/src/compose_tooltips.js
187,long method,149,100,../input_projects/multi_projects/zulip/web/src/ui_init.js
360,long method,346,100,../input_projects/multi_projects/zulip/web/src/ui_init.js
430,long method,124,100,../input_projects/multi_projects/zulip/web/src/settings_profile_fields.js
67,long method,105,100,../input_projects/multi_projects/zulip/web/src/scheduled_messages.js
430,long method,132,100,../input_projects/multi_projects/zulip/web/src/message_edit.js
939,long method,169,100,../input_projects/multi_projects/zulip/web/src/message_edit.js
171,long method,395,100,../input_projects/multi_projects/zulip/web/src/message_events.js
91,long method,119,100,../input_projects/multi_projects/zulip/web/src/stream_popover.js
324,long method,268,100,../input_projects/multi_projects/zulip/web/src/stream_popover.js
89,long method,837,100,../input_projects/multi_projects/zulip/web/src/server_events_dispatch.js
204,long method,125,100,../input_projects/multi_projects/zulip/web/src/settings_bots.js
331,long method,142,100,../input_projects/multi_projects/zulip/web/src/settings_bots.js
69,long method,362,100,../input_projects/multi_projects/zulip/web/src/narrow_banner.js
24,long method,113,100,../input_projects/multi_projects/zulip/web/src/pill_typeahead.js
45,long method,822,100,../input_projects/multi_projects/zulip/web/src/click_handlers.js
205,long method,164,100,../input_projects/multi_projects/zulip/web/src/hashchange.js
704,long method,110,100,../input_projects/multi_projects/zulip/web/src/search_suggestion.js
118,long method,103,100,../input_projects/multi_projects/zulip/web/src/navbar_alerts.js
28,long method,111,100,../input_projects/multi_projects/zulip/web/src/server_events.js
254,long method,122,100,../input_projects/multi_projects/zulip/web/src/hotkey.js
428,long method,135,100,../input_projects/multi_projects/zulip/web/src/hotkey.js
648,long method,515,100,../input_projects/multi_projects/zulip/web/src/hotkey.js
181,long method,127,100,../input_projects/multi_projects/zulip/web/src/compose_actions.js
475,long method,135,100,../input_projects/multi_projects/zulip/web/src/recent_view_ui.js
1215,long method,176,100,../input_projects/multi_projects/zulip/web/src/recent_view_ui.js
