Line,Smell,Cause,Number of Conditions,Threshold,File
61,complex conditional,long if,6,3,../input_projects/java_projects/netty/handler/src/main/java/io/netty/handler/ssl/OpenSslX509TrustManagerWrapper.java
174,complex conditional,long if,4,3,../input_projects/java_projects/netty/handler/src/main/java/io/netty/handler/ssl/OpenSslX509TrustManagerWrapper.java
849,complex conditional,long if,5,3,../input_projects/java_projects/netty/handler/src/main/java/io/netty/handler/ssl/SslHandler.java
883,complex conditional,long if,4,3,../input_projects/java_projects/netty/handler/src/main/java/io/netty/handler/ssl/SslHandler.java
896,complex conditional,long if,13,3,../input_projects/java_projects/netty/handler/src/main/java/io/netty/handler/ssl/SslHandler.java
976,complex conditional,long if,4,3,../input_projects/java_projects/netty/handler/src/main/java/io/netty/handler/ssl/SslHandler.java
1189,complex conditional,long if,4,3,../input_projects/java_projects/netty/handler/src/main/java/io/netty/handler/ssl/SslHandler.java
1218,complex conditional,long if,9,3,../input_projects/java_projects/netty/handler/src/main/java/io/netty/handler/ssl/SslHandler.java
1300,complex conditional,long if,7,3,../input_projects/java_projects/netty/handler/src/main/java/io/netty/handler/ssl/SslHandler.java
1480,complex conditional,long if,4,3,../input_projects/java_projects/netty/handler/src/main/java/io/netty/handler/ssl/SslHandler.java
1496,complex conditional,long if,5,3,../input_projects/java_projects/netty/handler/src/main/java/io/netty/handler/ssl/SslHandler.java
1516,complex conditional,long if,4,3,../input_projects/java_projects/netty/handler/src/main/java/io/netty/handler/ssl/SslHandler.java
1622,complex conditional,long if,6,3,../input_projects/java_projects/netty/handler/src/main/java/io/netty/handler/ssl/SslHandler.java
1968,complex conditional,long if,4,3,../input_projects/java_projects/netty/handler/src/main/java/io/netty/handler/ssl/SslHandler.java
2016,complex conditional,long if,4,3,../input_projects/java_projects/netty/handler/src/main/java/io/netty/handler/ssl/SslHandler.java
2102,complex conditional,long if,4,3,../input_projects/java_projects/netty/handler/src/main/java/io/netty/handler/ssl/SslHandler.java
2270,complex conditional,long if,4,3,../input_projects/java_projects/netty/handler/src/main/java/io/netty/handler/ssl/SslHandler.java
2300,complex conditional,long if,5,3,../input_projects/java_projects/netty/handler/src/main/java/io/netty/handler/ssl/SslHandler.java
914,complex conditional,long switch,8,3,../input_projects/java_projects/netty/handler/src/main/java/io/netty/handler/ssl/SslHandler.java
993,complex conditional,long switch,11,3,../input_projects/java_projects/netty/handler/src/main/java/io/netty/handler/ssl/SslHandler.java
1783,complex conditional,long switch,8,3,../input_projects/java_projects/netty/handler/src/main/java/io/netty/handler/ssl/SslHandler.java
120,complex conditional,long if,4,3,../input_projects/java_projects/netty/handler/src/main/java/io/netty/handler/ssl/JdkAlpnSslEngine.java
110,complex conditional,long if,5,3,../input_projects/java_projects/netty/handler/src/main/java/io/netty/handler/ssl/ReferenceCountedOpenSslServerContext.java
48,complex conditional,long switch,4,3,../input_projects/java_projects/netty/handler/src/main/java/io/netty/handler/ssl/SslProvider.java
72,complex conditional,long switch,4,3,../input_projects/java_projects/netty/handler/src/main/java/io/netty/handler/ssl/SslProvider.java
88,complex conditional,long switch,4,3,../input_projects/java_projects/netty/handler/src/main/java/io/netty/handler/ssl/SslProvider.java
105,complex conditional,long switch,4,3,../input_projects/java_projects/netty/handler/src/main/java/io/netty/handler/ssl/SslProvider.java
63,complex conditional,long if,8,3,../input_projects/java_projects/netty/handler/src/main/java/io/netty/handler/ssl/AbstractSniHandler.java
69,complex conditional,long if,19,3,../input_projects/java_projects/netty/handler/src/main/java/io/netty/handler/ssl/SslClientHelloHandler.java
