Line,Smell,Number of Lines,Threshold_nol,Number of Children,Threshold_noc,File
39,long class,482,200,56,20,../input_projects/java_projects/netty/handler/src/main/java/io/netty/handler/ssl/OpenSslSessionCache.java
296,long class,224,200,38,20,../input_projects/java_projects/netty/handler/src/main/java/io/netty/handler/ssl/OpenSslSessionCache.java
87,long class,1066,200,70,20,../input_projects/java_projects/netty/handler/src/main/java/io/netty/handler/ssl/ReferenceCountedOpenSslContext.java
27,long class,164,200,23,20,../input_projects/java_projects/netty/handler/src/main/java/io/netty/handler/ssl/OpenSslPrivateKey.java
50,long class,270,200,13,20,../input_projects/java_projects/netty/handler/src/main/java/io/netty/handler/ssl/ReferenceCountedOpenSslClientContext.java
50,long class,500,200,27,20,../input_projects/java_projects/netty/handler/src/main/java/io/netty/handler/ssl/SslUtils.java
38,long class,275,200,12,20,../input_projects/java_projects/netty/handler/src/main/java/io/netty/handler/ssl/JdkSslClientContext.java
55,long class,692,200,29,20,../input_projects/java_projects/netty/handler/src/main/java/io/netty/handler/ssl/OpenSsl.java
94,long class,2649,200,155,20,../input_projects/java_projects/netty/handler/src/main/java/io/netty/handler/ssl/ReferenceCountedOpenSslEngine.java
2330,long class,380,200,36,20,../input_projects/java_projects/netty/handler/src/main/java/io/netty/handler/ssl/ReferenceCountedOpenSslEngine.java
37,long class,231,200,40,20,../input_projects/java_projects/netty/handler/src/main/java/io/netty/handler/ssl/ExtendedOpenSslSession.java
49,long class,354,200,48,20,../input_projects/java_projects/netty/handler/src/main/java/io/netty/handler/ssl/PemX509Certificate.java
38,long class,478,200,20,20,../input_projects/java_projects/netty/handler/src/main/java/io/netty/handler/ssl/CipherSuiteConverter.java
57,long class,311,200,12,20,../input_projects/java_projects/netty/handler/src/main/java/io/netty/handler/ssl/JdkSslServerContext.java
21,long class,733,200,1,20,../input_projects/java_projects/netty/handler/src/main/java/io/netty/handler/ssl/Ciphers.java
70,long class,327,200,23,20,../input_projects/java_projects/netty/handler/src/main/java/io/netty/handler/stream/ChunkedWriteHandler.java
