Line,Smell,Number of Lines,Threshold,File
330,long method,128,100,../input_projects/multi_projects/wagtail/client/src/components/StreamField/blocks/StructBlock.test.js
333,long method,106,100,../input_projects/multi_projects/wagtail/client/src/components/StreamField/blocks/StructBlock.test.js
4,long method,124,100,../input_projects/multi_projects/wagtail/client/src/entrypoints/admin/page-chooser-telepath.test.js
12,long method,139,100,../input_projects/multi_projects/wagtail/client/src/entrypoints/admin/modal-workflow.js
16,long method,120,100,../input_projects/multi_projects/wagtail/client/src/entrypoints/admin/modal-workflow.test.js
5,long method,143,100,../input_projects/multi_projects/wagtail/client/src/entrypoints/admin/page-chooser-modal.js
9,long method,350,100,../input_projects/multi_projects/wagtail/client/src/entrypoints/admin/comments.js
235,long method,189,100,../input_projects/multi_projects/wagtail/client/src/entrypoints/admin/telepath/widgets.test.js
68,long method,329,100,../input_projects/multi_projects/wagtail/client/src/entrypoints/admin/preview-panel.js
12,long method,162,100,../input_projects/multi_projects/wagtail/client/src/entrypoints/contrib/typed_table_block/typed_table_block.js
231,long method,110,100,../input_projects/multi_projects/wagtail/client/src/entrypoints/contrib/typed_table_block/typed_table_block.js
52,long method,175,100,../input_projects/multi_projects/wagtail/client/src/entrypoints/contrib/typed_table_block/typed_table_block.test.js
229,long method,142,100,../input_projects/multi_projects/wagtail/client/src/entrypoints/contrib/typed_table_block/typed_table_block.test.js
20,long method,218,100,../input_projects/multi_projects/wagtail/client/src/entrypoints/contrib/table_block/table.js
66,long method,134,100,../input_projects/multi_projects/wagtail/client/src/entrypoints/contrib/table_block/table.test.js
4,long method,341,100,../input_projects/multi_projects/wagtail/client/src/controllers/ActionController.test.js
5,long method,133,100,../input_projects/multi_projects/wagtail/client/src/controllers/UpgradeController.test.js
7,long method,182,100,../input_projects/multi_projects/wagtail/client/src/controllers/UnsavedController.test.js
5,long method,156,100,../input_projects/multi_projects/wagtail/client/src/controllers/TeleportController.test.js
8,long method,152,100,../input_projects/multi_projects/wagtail/client/src/controllers/TeleportController.test.js
8,long method,110,100,../input_projects/multi_projects/wagtail/client/src/controllers/AutosizeController.test.js
7,long method,335,100,../input_projects/multi_projects/wagtail/client/src/controllers/CloneController.test.js
93,long method,213,100,../input_projects/multi_projects/wagtail/client/src/controllers/CloneController.test.js
