Line,Smell,Number of Parameters,Threshold,File
54,long parameters,7,5,../input_projects/py_projects/numpy/numpy/ma/timer_comparison.py
117,long parameters,17,5,../input_projects/py_projects/numpy/numpy/ma/mrecords.py
479,long parameters,9,5,../input_projects/py_projects/numpy/numpy/ma/mrecords.py
521,long parameters,10,5,../input_projects/py_projects/numpy/numpy/ma/mrecords.py
636,long parameters,6,5,../input_projects/py_projects/numpy/numpy/ma/mrecords.py
148,long parameters,6,5,../input_projects/py_projects/numpy/numpy/f2py/tests/util.py
272,long parameters,6,5,../input_projects/py_projects/numpy/numpy/testing/nosetester.py
318,long parameters,7,5,../input_projects/py_projects/numpy/numpy/testing/nosetester.py
66,long parameters,8,5,../input_projects/py_projects/numpy/numpy/testing/noseclasses.py
148,long parameters,8,5,../input_projects/py_projects/numpy/numpy/testing/noseclasses.py
164,long parameters,6,5,../input_projects/py_projects/numpy/numpy/testing/utils.py
196,long parameters,6,5,../input_projects/py_projects/numpy/numpy/testing/utils.py
589,long parameters,7,5,../input_projects/py_projects/numpy/numpy/testing/utils.py
1247,long parameters,6,5,../input_projects/py_projects/numpy/numpy/testing/utils.py
1498,long parameters,7,5,../input_projects/py_projects/numpy/numpy/testing/utils.py
763,long parameters,6,5,../input_projects/py_projects/numpy/numpy/lib/_iotools.py
761,long parameters,7,5,../input_projects/py_projects/numpy/numpy/lib/nanfunctions.py
885,long parameters,7,5,../input_projects/py_projects/numpy/numpy/lib/nanfunctions.py
933,long parameters,6,5,../input_projects/py_projects/numpy/numpy/lib/nanfunctions.py
1064,long parameters,6,5,../input_projects/py_projects/numpy/numpy/lib/nanfunctions.py
576,long parameters,7,5,../input_projects/py_projects/numpy/numpy/lib/recfunctions.py
823,long parameters,9,5,../input_projects/py_projects/numpy/numpy/lib/recfunctions.py
991,long parameters,7,5,../input_projects/py_projects/numpy/numpy/lib/recfunctions.py
19,long parameters,6,5,../input_projects/py_projects/numpy/numpy/lib/tests/test_arraysetops.py
635,long parameters,6,5,../input_projects/py_projects/numpy/numpy/lib/format.py
578,long parameters,6,5,../input_projects/py_projects/numpy/numpy/lib/twodim_base.py
286,long parameters,6,5,../input_projects/py_projects/numpy/numpy/lib/financial.py
390,long parameters,6,5,../input_projects/py_projects/numpy/numpy/lib/financial.py
517,long parameters,6,5,../input_projects/py_projects/numpy/numpy/lib/financial.py
531,long parameters,8,5,../input_projects/py_projects/numpy/numpy/lib/financial.py
631,long parameters,9,5,../input_projects/py_projects/numpy/numpy/lib/npyio.py
899,long parameters,8,5,../input_projects/py_projects/numpy/numpy/lib/npyio.py
1184,long parameters,23,5,../input_projects/py_projects/numpy/numpy/lib/npyio.py
78,long parameters,6,5,../input_projects/py_projects/numpy/numpy/lib/function_base.py
1644,long parameters,6,5,../input_projects/py_projects/numpy/numpy/lib/function_base.py
2947,long parameters,7,5,../input_projects/py_projects/numpy/numpy/lib/function_base.py
3064,long parameters,7,5,../input_projects/py_projects/numpy/numpy/lib/function_base.py
396,long parameters,7,5,../input_projects/py_projects/numpy/numpy/lib/polynomial.py
45,long parameters,6,5,../input_projects/py_projects/numpy/numpy/fft/fftpack.py
726,long parameters,6,5,../input_projects/py_projects/numpy/numpy/polynomial/laguerre.py
1367,long parameters,6,5,../input_projects/py_projects/numpy/numpy/polynomial/laguerre.py
725,long parameters,9,5,../input_projects/py_projects/numpy/numpy/polynomial/_polybase.py
726,long parameters,6,5,../input_projects/py_projects/numpy/numpy/polynomial/hermite_e.py
1365,long parameters,6,5,../input_projects/py_projects/numpy/numpy/polynomial/hermite_e.py
967,long parameters,6,5,../input_projects/py_projects/numpy/numpy/polynomial/chebyshev.py
1597,long parameters,6,5,../input_projects/py_projects/numpy/numpy/polynomial/chebyshev.py
566,long parameters,6,5,../input_projects/py_projects/numpy/numpy/polynomial/polynomial.py
1196,long parameters,6,5,../input_projects/py_projects/numpy/numpy/polynomial/polynomial.py
767,long parameters,6,5,../input_projects/py_projects/numpy/numpy/polynomial/legendre.py
1398,long parameters,6,5,../input_projects/py_projects/numpy/numpy/polynomial/legendre.py
727,long parameters,6,5,../input_projects/py_projects/numpy/numpy/polynomial/hermite.py
1368,long parameters,6,5,../input_projects/py_projects/numpy/numpy/polynomial/hermite.py
