Line,Smell,Number of Lines,Threshold,File
3,long method,506,100,../input_projects/js_projects/Chart.js/test/specs/helpers.core.tests.js
1,long method,483,100,../input_projects/js_projects/Chart.js/test/specs/core.plugin.tests.js
2,long method,160,100,../input_projects/js_projects/Chart.js/test/specs/core.plugin.tests.js
164,long method,319,100,../input_projects/js_projects/Chart.js/test/specs/core.plugin.tests.js
5,long method,566,100,../input_projects/js_projects/Chart.js/test/specs/scale.category.tests.js
1,long method,218,100,../input_projects/js_projects/Chart.js/test/specs/plugin.decimation.tests.js
5,long method,213,100,../input_projects/js_projects/Chart.js/test/specs/plugin.decimation.tests.js
1,long method,2338,100,../input_projects/js_projects/Chart.js/test/specs/core.controller.tests.js
42,long method,355,100,../input_projects/js_projects/Chart.js/test/specs/core.controller.tests.js
399,long method,179,100,../input_projects/js_projects/Chart.js/test/specs/core.controller.tests.js
602,long method,699,100,../input_projects/js_projects/Chart.js/test/specs/core.controller.tests.js
1548,long method,214,100,../input_projects/js_projects/Chart.js/test/specs/core.controller.tests.js
1764,long method,188,100,../input_projects/js_projects/Chart.js/test/specs/core.controller.tests.js
2072,long method,129,100,../input_projects/js_projects/Chart.js/test/specs/core.controller.tests.js
5,long method,1393,100,../input_projects/js_projects/Chart.js/test/specs/scale.linear.tests.js
345,long method,109,100,../input_projects/js_projects/Chart.js/src/core/core.layouts.js
1014,long method,129,100,../input_projects/js_projects/Chart.js/src/core/core.scale.js
1148,long method,175,100,../input_projects/js_projects/Chart.js/src/core/core.scale.js
3,long method,102,100,../input_projects/js_projects/Chart.js/src/core/core.scale.defaults.js
283,long method,155,100,../input_projects/js_projects/Chart.js/src/plugins/plugin.legend.js
25,long method,120,100,../input_projects/js_projects/Chart.js/src/scales/scale.linearbase.js
