Line,Smell,Cause,Number of Conditions,Threshold,File
722,complex conditional,long if,4,3,../input_projects/js_projects/node_cli/workspaces/arborist/lib/shrinkwrap.js
752,complex conditional,long if,5,3,../input_projects/js_projects/node_cli/workspaces/arborist/lib/shrinkwrap.js
765,complex conditional,long if,7,3,../input_projects/js_projects/node_cli/workspaces/arborist/lib/shrinkwrap.js
805,complex conditional,long if,5,3,../input_projects/js_projects/node_cli/workspaces/arborist/lib/shrinkwrap.js
911,complex conditional,long if,6,3,../input_projects/js_projects/node_cli/workspaces/arborist/lib/shrinkwrap.js
1011,complex conditional,long if,7,3,../input_projects/js_projects/node_cli/workspaces/arborist/lib/shrinkwrap.js
1053,complex conditional,long if,7,3,../input_projects/js_projects/node_cli/workspaces/arborist/lib/shrinkwrap.js
1074,complex conditional,long if,5,3,../input_projects/js_projects/node_cli/workspaces/arborist/lib/shrinkwrap.js
1103,complex conditional,long if,4,3,../input_projects/js_projects/node_cli/workspaces/arborist/lib/shrinkwrap.js
71,complex conditional,long if,4,3,../input_projects/js_projects/node_cli/workspaces/arborist/lib/vuln.js
17,complex conditional,long if,4,3,../input_projects/js_projects/node_cli/workspaces/arborist/lib/add-rm-pkg-deps.js
47,complex conditional,long if,5,3,../input_projects/js_projects/node_cli/workspaces/arborist/lib/add-rm-pkg-deps.js
107,complex conditional,long if,6,3,../input_projects/js_projects/node_cli/workspaces/arborist/lib/add-rm-pkg-deps.js
204,complex conditional,long if,4,3,../input_projects/js_projects/node_cli/workspaces/arborist/lib/node.js
589,complex conditional,long if,4,3,../input_projects/js_projects/node_cli/workspaces/arborist/lib/node.js
611,complex conditional,long if,22,3,../input_projects/js_projects/node_cli/workspaces/arborist/lib/node.js
94,complex conditional,long if,4,3,../input_projects/js_projects/node_cli/workspaces/arborist/lib/calc-dep-flags.js
59,complex conditional,long if,8,3,../input_projects/js_projects/node_cli/workspaces/arborist/lib/inventory.js
79,complex conditional,long if,4,3,../input_projects/js_projects/node_cli/workspaces/arborist/lib/inventory.js
152,complex conditional,long if,4,3,../input_projects/js_projects/node_cli/workspaces/arborist/lib/yarn-lock.js
181,complex conditional,long if,4,3,../input_projects/js_projects/node_cli/workspaces/arborist/lib/yarn-lock.js
111,complex conditional,long if,5,3,../input_projects/js_projects/node_cli/workspaces/arborist/lib/arborist/load-actual.js
267,complex conditional,long if,4,3,../input_projects/js_projects/node_cli/workspaces/arborist/lib/arborist/load-actual.js
453,complex conditional,long if,5,3,../input_projects/js_projects/node_cli/workspaces/arborist/lib/arborist/build-ideal-tree.js
604,complex conditional,long if,4,3,../input_projects/js_projects/node_cli/workspaces/arborist/lib/arborist/build-ideal-tree.js
823,complex conditional,long if,4,3,../input_projects/js_projects/node_cli/workspaces/arborist/lib/arborist/build-ideal-tree.js
971,complex conditional,long if,7,3,../input_projects/js_projects/node_cli/workspaces/arborist/lib/arborist/build-ideal-tree.js
1318,complex conditional,long if,5,3,../input_projects/js_projects/node_cli/workspaces/arborist/lib/arborist/build-ideal-tree.js
343,complex conditional,long if,9,3,../input_projects/js_projects/node_cli/workspaces/arborist/lib/arborist/reify.js
669,complex conditional,long if,8,3,../input_projects/js_projects/node_cli/workspaces/arborist/lib/arborist/reify.js
1252,complex conditional,long if,7,3,../input_projects/js_projects/node_cli/workspaces/arborist/lib/arborist/reify.js
1305,complex conditional,long if,9,3,../input_projects/js_projects/node_cli/workspaces/arborist/lib/arborist/reify.js
1390,complex conditional,long if,5,3,../input_projects/js_projects/node_cli/workspaces/arborist/lib/arborist/reify.js
1483,complex conditional,long if,9,3,../input_projects/js_projects/node_cli/workspaces/arborist/lib/arborist/reify.js
1563,complex conditional,long if,4,3,../input_projects/js_projects/node_cli/workspaces/arborist/lib/arborist/reify.js
270,complex conditional,long if,4,3,../input_projects/js_projects/node_cli/workspaces/arborist/lib/arborist/rebuild.js
261,complex conditional,long if,6,3,../input_projects/js_projects/node_cli/workspaces/arborist/lib/can-place-dep.js
321,complex conditional,long if,4,3,../input_projects/js_projects/node_cli/workspaces/arborist/lib/can-place-dep.js
