Line,Smell,Number of Lines,Threshold,File
438,long method,249,100,../input_projects/js_projects/node_cli/workspaces/arborist/test/node.js
1605,long method,380,100,../input_projects/js_projects/node_cli/workspaces/arborist/test/node.js
2069,long method,146,100,../input_projects/js_projects/node_cli/workspaces/arborist/test/node.js
2350,long method,173,100,../input_projects/js_projects/node_cli/workspaces/arborist/test/node.js
2687,long method,273,100,../input_projects/js_projects/node_cli/workspaces/arborist/test/node.js
15,long method,140,100,../input_projects/js_projects/node_cli/workspaces/arborist/test/calc-dep-flags.js
9,long method,105,100,../input_projects/js_projects/node_cli/workspaces/arborist/test/inventory.js
763,long method,263,100,../input_projects/js_projects/node_cli/workspaces/arborist/test/arborist/build-ideal-tree.js
1425,long method,344,100,../input_projects/js_projects/node_cli/workspaces/arborist/test/arborist/build-ideal-tree.js
1793,long method,296,100,../input_projects/js_projects/node_cli/workspaces/arborist/test/arborist/build-ideal-tree.js
1796,long method,142,100,../input_projects/js_projects/node_cli/workspaces/arborist/test/arborist/build-ideal-tree.js
1940,long method,148,100,../input_projects/js_projects/node_cli/workspaces/arborist/test/arborist/build-ideal-tree.js
2796,long method,119,100,../input_projects/js_projects/node_cli/workspaces/arborist/test/arborist/build-ideal-tree.js
3137,long method,112,100,../input_projects/js_projects/node_cli/workspaces/arborist/test/arborist/build-ideal-tree.js
3251,long method,154,100,../input_projects/js_projects/node_cli/workspaces/arborist/test/arborist/build-ideal-tree.js
3407,long method,561,100,../input_projects/js_projects/node_cli/workspaces/arborist/test/arborist/build-ideal-tree.js
638,long method,289,100,../input_projects/js_projects/node_cli/workspaces/arborist/test/arborist/reify.js
929,long method,168,100,../input_projects/js_projects/node_cli/workspaces/arborist/test/arborist/reify.js
940,long method,154,100,../input_projects/js_projects/node_cli/workspaces/arborist/test/arborist/reify.js
1494,long method,101,100,../input_projects/js_projects/node_cli/workspaces/arborist/test/arborist/reify.js
1694,long method,127,100,../input_projects/js_projects/node_cli/workspaces/arborist/test/arborist/reify.js
2031,long method,120,100,../input_projects/js_projects/node_cli/workspaces/arborist/test/arborist/reify.js
2619,long method,186,100,../input_projects/js_projects/node_cli/workspaces/arborist/test/arborist/reify.js
2807,long method,211,100,../input_projects/js_projects/node_cli/workspaces/arborist/test/arborist/reify.js
3020,long method,204,100,../input_projects/js_projects/node_cli/workspaces/arborist/test/arborist/reify.js
512,long method,151,100,../input_projects/js_projects/node_cli/workspaces/arborist/test/arborist/rebuild.js
2,long method,106,100,../input_projects/js_projects/node_cli/workspaces/arborist/test/fixtures/reify-cases/flow-outdated.js
2,long method,3335,100,../input_projects/js_projects/node_cli/workspaces/arborist/test/fixtures/reify-cases/tap-react15-collision-legacy-sw.js
2,long method,153,100,../input_projects/js_projects/node_cli/workspaces/arborist/test/fixtures/reify-cases/testing-rebuild-script-env-flags.js
2,long method,3553,100,../input_projects/js_projects/node_cli/workspaces/arborist/test/fixtures/reify-cases/dep-missing-resolved.js
2,long method,13386,100,../input_projects/js_projects/node_cli/workspaces/arborist/test/fixtures/reify-cases/audit-fix-old-tap.js
2,long method,160,100,../input_projects/js_projects/node_cli/workspaces/arborist/test/fixtures/reify-cases/once-outdated.js
2,long method,213,100,../input_projects/js_projects/node_cli/workspaces/arborist/test/fixtures/reify-cases/old-package-lock-with-bins.js
2,long method,2633,100,../input_projects/js_projects/node_cli/workspaces/arborist/test/fixtures/reify-cases/sax.js
2,long method,229,100,../input_projects/js_projects/node_cli/workspaces/arborist/test/fixtures/reify-cases/testing-bundledeps-legacy-bundling.js
2,long method,123,100,../input_projects/js_projects/node_cli/workspaces/arborist/test/fixtures/reify-cases/link-meta-deps.js
2,long method,284,100,../input_projects/js_projects/node_cli/workspaces/arborist/test/fixtures/reify-cases/testing-bundledeps-3.js
2,long method,224,100,../input_projects/js_projects/node_cli/workspaces/arborist/test/fixtures/reify-cases/testing-rebuild-bundle.js
2,long method,194,100,../input_projects/js_projects/node_cli/workspaces/arborist/test/fixtures/reify-cases/shrinkwrapped-dep-with-lock.js
2,long method,158,100,../input_projects/js_projects/node_cli/workspaces/arborist/test/fixtures/reify-cases/testing-peer-deps-nested.js
2,long method,220,100,../input_projects/js_projects/node_cli/workspaces/arborist/test/fixtures/reify-cases/testing-bundledeps.js
2,long method,522,100,../input_projects/js_projects/node_cli/workspaces/arborist/test/fixtures/reify-cases/dep-installed-without-bin-link.js
2,long method,326,100,../input_projects/js_projects/node_cli/workspaces/arborist/test/fixtures/reify-cases/workspaces-non-simplistic.js
2,long method,157,100,../input_projects/js_projects/node_cli/workspaces/arborist/test/fixtures/reify-cases/testing-rebuild-bundle-reified.js
2,long method,159,100,../input_projects/js_projects/node_cli/workspaces/arborist/test/fixtures/reify-cases/old-package-lock.js
2,long method,20580,100,../input_projects/js_projects/node_cli/workspaces/arborist/test/fixtures/reify-cases/tap-with-yarn-lock.js
2,long method,3466,100,../input_projects/js_projects/node_cli/workspaces/arborist/test/fixtures/reify-cases/tap-and-flow.js
2,long method,6994,100,../input_projects/js_projects/node_cli/workspaces/arborist/test/fixtures/reify-cases/two-bundled-deps.js
2,long method,143,100,../input_projects/js_projects/node_cli/workspaces/arborist/test/fixtures/reify-cases/shrinkwrapped-dep-no-lock.js
15,long method,1375,100,../input_projects/js_projects/node_cli/workspaces/arborist/test/can-place-dep.js
234,long method,123,100,../input_projects/js_projects/node_cli/workspaces/arborist/test/diff.js
13,long method,108,100,../input_projects/js_projects/node_cli/workspaces/arborist/bin/lib/options.js
26,long method,304,100,../input_projects/js_projects/node_cli/workspaces/arborist/lib/place-dep.js
309,long method,110,100,../input_projects/js_projects/node_cli/workspaces/arborist/lib/query-selector-all.js
510,long method,132,100,../input_projects/js_projects/node_cli/workspaces/arborist/lib/query-selector-all.js
517,long method,121,100,../input_projects/js_projects/node_cli/workspaces/arborist/lib/query-selector-all.js
668,long method,122,100,../input_projects/js_projects/node_cli/workspaces/arborist/lib/shrinkwrap.js
