Line,Smell,Cause,Number of Conditions,Threshold,File
104,complex conditional,long if,4,3,../input_projects/java_projects/maven-3-9-6/maven-compat/src/main/java/org/apache/maven/project/DefaultMavenProjectBuilder.java
133,complex conditional,long if,4,3,../input_projects/java_projects/maven-3-9-6/maven-compat/src/main/java/org/apache/maven/project/DefaultMavenProjectBuilder.java
140,complex conditional,long if,24,3,../input_projects/java_projects/maven-3-9-6/maven-compat/src/main/java/org/apache/maven/project/interpolation/StringSearchModelInterpolator.java
292,complex conditional,long if,4,3,../input_projects/java_projects/maven-3-9-6/maven-compat/src/main/java/org/apache/maven/project/interpolation/StringSearchModelInterpolator.java
271,complex conditional,long if,7,3,../input_projects/java_projects/maven-3-9-6/maven-compat/src/main/java/org/apache/maven/project/interpolation/AbstractStringBasedModelInterpolator.java
96,complex conditional,long if,5,3,../input_projects/java_projects/maven-3-9-6/maven-compat/src/main/java/org/apache/maven/artifact/repository/metadata/MetadataBridge.java
76,complex conditional,long if,12,3,../input_projects/java_projects/maven-3-9-6/maven-compat/src/main/java/org/apache/maven/artifact/repository/metadata/DefaultRepositoryMetadataManager.java
199,complex conditional,long if,6,3,../input_projects/java_projects/maven-3-9-6/maven-compat/src/main/java/org/apache/maven/artifact/repository/metadata/DefaultRepositoryMetadataManager.java
238,complex conditional,long if,5,3,../input_projects/java_projects/maven-3-9-6/maven-compat/src/main/java/org/apache/maven/artifact/repository/metadata/DefaultRepositoryMetadataManager.java
292,complex conditional,long if,4,3,../input_projects/java_projects/maven-3-9-6/maven-compat/src/main/java/org/apache/maven/artifact/repository/metadata/DefaultRepositoryMetadataManager.java
61,complex conditional,long if,6,3,../input_projects/java_projects/maven-3-9-6/maven-compat/src/main/java/org/apache/maven/artifact/ArtifactScopeEnum.java
70,complex conditional,long if,5,3,../input_projects/java_projects/maven-3-9-6/maven-compat/src/main/java/org/apache/maven/artifact/manager/DefaultWagonManager.java
103,complex conditional,long if,5,3,../input_projects/java_projects/maven-3-9-6/maven-compat/src/main/java/org/apache/maven/artifact/manager/DefaultWagonManager.java
162,complex conditional,long if,5,3,../input_projects/java_projects/maven-3-9-6/maven-compat/src/main/java/org/apache/maven/artifact/resolver/DefaultArtifactResolver.java
184,complex conditional,long if,5,3,../input_projects/java_projects/maven-3-9-6/maven-compat/src/main/java/org/apache/maven/artifact/resolver/DefaultArtifactResolver.java
425,complex conditional,long if,5,3,../input_projects/java_projects/maven-3-9-6/maven-compat/src/main/java/org/apache/maven/artifact/resolver/DefaultArtifactResolver.java
51,complex conditional,long if,8,3,../input_projects/java_projects/maven-3-9-6/maven-compat/src/main/java/org/apache/maven/profiles/activation/SystemPropertyProfileActivator.java
51,complex conditional,long if,5,3,../input_projects/java_projects/maven-3-9-6/maven-compat/src/main/java/org/apache/maven/profiles/activation/FileProfileActivator.java
45,complex conditional,long if,5,3,../input_projects/java_projects/maven-3-9-6/maven-compat/src/main/java/org/apache/maven/profiles/ProfilesConversionUtils.java
53,complex conditional,long if,4,3,../input_projects/java_projects/maven-3-9-6/maven-model-builder/src/main/java/org/apache/maven/model/normalization/DefaultModelNormalizer.java
89,complex conditional,long if,4,3,../input_projects/java_projects/maven-3-9-6/maven-model-builder/src/main/java/org/apache/maven/model/merge/MavenModelMerger.java
240,complex conditional,long if,4,3,../input_projects/java_projects/maven-3-9-6/maven-model-builder/src/main/java/org/apache/maven/model/merge/MavenModelMerger.java
382,complex conditional,long if,4,3,../input_projects/java_projects/maven-3-9-6/maven-model-builder/src/main/java/org/apache/maven/model/merge/MavenModelMerger.java
455,complex conditional,long if,4,3,../input_projects/java_projects/maven-3-9-6/maven-model-builder/src/main/java/org/apache/maven/model/merge/MavenModelMerger.java
471,complex conditional,long if,4,3,../input_projects/java_projects/maven-3-9-6/maven-model-builder/src/main/java/org/apache/maven/model/merge/MavenModelMerger.java
65,complex conditional,long if,4,3,../input_projects/java_projects/maven-3-9-6/maven-model-builder/src/main/java/org/apache/maven/model/path/ProfileActivationFilePathInterpolator.java
39,complex conditional,long if,4,3,../input_projects/java_projects/maven-3-9-6/maven-model-builder/src/main/java/org/apache/maven/model/path/DefaultPathTranslator.java
37,complex conditional,long if,5,3,../input_projects/java_projects/maven-3-9-6/maven-model-builder/src/main/java/org/apache/maven/model/path/DefaultUrlNormalizer.java
50,complex conditional,long if,4,3,../input_projects/java_projects/maven-3-9-6/maven-model-builder/src/main/java/org/apache/maven/model/composition/DefaultDependencyManagementImporter.java
91,complex conditional,long if,6,3,../input_projects/java_projects/maven-3-9-6/maven-model-builder/src/main/java/org/apache/maven/model/inheritance/DefaultInheritanceAssembler.java
166,complex conditional,long if,6,3,../input_projects/java_projects/maven-3-9-6/maven-model-builder/src/main/java/org/apache/maven/model/inheritance/DefaultInheritanceAssembler.java
219,complex conditional,long if,6,3,../input_projects/java_projects/maven-3-9-6/maven-model-builder/src/main/java/org/apache/maven/model/inheritance/DefaultInheritanceAssembler.java
287,complex conditional,long if,4,3,../input_projects/java_projects/maven-3-9-6/maven-model-builder/src/main/java/org/apache/maven/model/inheritance/DefaultInheritanceAssembler.java
68,complex conditional,long if,6,3,../input_projects/java_projects/maven-3-9-6/maven-model-builder/src/main/java/org/apache/maven/model/profile/DefaultProfileSelector.java
155,complex conditional,long if,6,3,../input_projects/java_projects/maven-3-9-6/maven-model-builder/src/main/java/org/apache/maven/model/profile/activation/JdkVersionProfileActivator.java
