Line,Smell,Number of Lines,Threshold_nol,Number of Children,Threshold_noc,File
31,long class,734,200,12,20,../input_projects/java_projects/maven-3-9-6/maven-artifact/src/test/java/org/apache/maven/artifact/versioning/VersionRangeTest.java
41,long class,467,200,58,20,../input_projects/java_projects/maven-3-9-6/maven-artifact/src/main/java/org/apache/maven/artifact/DefaultArtifact.java
36,long class,451,200,17,20,../input_projects/java_projects/maven-3-9-6/maven-artifact/src/main/java/org/apache/maven/artifact/versioning/VersionRange.java
65,long class,653,200,47,20,../input_projects/java_projects/maven-3-9-6/maven-artifact/src/main/java/org/apache/maven/artifact/versioning/ComparableVersion.java
33,long class,291,200,18,20,../input_projects/java_projects/maven-3-9-6/maven-artifact/src/main/java/org/apache/maven/artifact/resolver/AbstractArtifactResolutionException.java
147,long class,483,200,44,20,../input_projects/java_projects/maven-3-9-6/maven-slf4j-provider/target/generated-sources/slf4j-simple/org/slf4j/impl/SimpleLogger.java
54,long class,362,200,16,20,../input_projects/java_projects/maven-3-9-6/maven-embedder/src/test/java/org/apache/maven/cli/MavenCliTest.java
29,long class,262,200,8,20,../input_projects/java_projects/maven-3-9-6/maven-embedder/src/test/java/org/apache/maven/cli/transfer/FileSizeFormatTest.java
36,long class,208,200,20,20,../input_projects/java_projects/maven-3-9-6/maven-embedder/src/main/java/org/apache/maven/cli/transfer/AbstractMavenTransferListener.java
35,long class,291,200,3,20,../input_projects/java_projects/maven-3-9-6/maven-embedder/src/main/java/org/apache/maven/cli/CLIManager.java
50,long class,384,200,22,20,../input_projects/java_projects/maven-3-9-6/maven-embedder/src/main/java/org/apache/maven/cli/event/ExecutionEventLogger.java
133,long class,1509,200,46,20,../input_projects/java_projects/maven-3-9-6/maven-embedder/src/main/java/org/apache/maven/cli/MavenCli.java
29,long class,163,200,61,20,../input_projects/java_projects/maven-3-9-6/maven-embedder/src/main/java/org/apache/maven/cli/logging/Slf4jStdoutLogger.java
93,long class,2405,200,241,20,../input_projects/java_projects/maven-3-9-6/maven-model/src/main/java/org/apache/maven/model/merge/ModelMerger.java
40,long class,594,200,58,20,../input_projects/java_projects/maven-3-9-6/maven-plugin-api/src/main/java/org/apache/maven/plugin/descriptor/MojoDescriptor.java
24,long class,148,200,28,20,../input_projects/java_projects/maven-3-9-6/maven-plugin-api/src/main/java/org/apache/maven/plugin/descriptor/Parameter.java
49,long class,319,200,43,20,../input_projects/java_projects/maven-3-9-6/maven-plugin-api/src/main/java/org/apache/maven/plugin/descriptor/PluginDescriptor.java
37,long class,283,200,4,20,../input_projects/java_projects/maven-3-9-6/maven-plugin-api/src/main/java/org/apache/maven/plugin/descriptor/PluginDescriptorBuilder.java
59,long class,227,200,23,20,../input_projects/java_projects/maven-3-9-6/maven-core/src/test/java/org/apache/maven/repository/TestRepositorySystem.java
55,long class,237,200,25,20,../input_projects/java_projects/maven-3-9-6/maven-core/src/test/java/org/apache/maven/AbstractCoreMavenComponentTestCase.java
52,long class,348,200,25,20,../input_projects/java_projects/maven-3-9-6/maven-core/src/test/java/org/apache/maven/plugin/PluginParameterExpressionEvaluatorTest.java
36,long class,241,200,16,20,../input_projects/java_projects/maven-3-9-6/maven-core/src/test/java/org/apache/maven/plugin/PluginManagerTest.java
51,long class,476,200,32,20,../input_projects/java_projects/maven-3-9-6/maven-core/src/test/java/org/apache/maven/lifecycle/LifecycleExecutorTest.java
53,long class,1780,200,139,20,../input_projects/java_projects/maven-3-9-6/maven-core/src/test/java/org/apache/maven/project/PomConstructionTest.java
47,long class,294,200,16,20,../input_projects/java_projects/maven-3-9-6/maven-core/src/test/java/org/apache/maven/project/ProjectBuilderTest.java
33,long class,381,200,26,20,../input_projects/java_projects/maven-3-9-6/maven-core/src/test/java/org/apache/maven/project/DefaultMavenProjectBuilderTest.java
45,long class,292,200,20,20,../input_projects/java_projects/maven-3-9-6/maven-core/src/test/java/org/apache/maven/project/ProjectSorterTest.java
47,long class,279,200,12,20,../input_projects/java_projects/maven-3-9-6/maven-core/src/test/java/org/apache/maven/toolchain/building/DefaultToolchainsBuilderTest.java
61,long class,319,200,26,20,../input_projects/java_projects/maven-3-9-6/maven-core/src/main/java/org/apache/maven/RepositoryUtils.java
31,long class,258,200,9,20,../input_projects/java_projects/maven-3-9-6/maven-core/src/main/java/org/apache/maven/settings/SettingsUtils.java
30,long class,270,200,21,20,../input_projects/java_projects/maven-3-9-6/maven-core/src/main/java/org/apache/maven/repository/ArtifactTransferEvent.java
67,long class,751,200,46,20,../input_projects/java_projects/maven-3-9-6/maven-core/src/main/java/org/apache/maven/bridge/MavenRepositorySystem.java
61,long class,345,200,11,20,../input_projects/java_projects/maven-3-9-6/maven-core/src/main/java/org/apache/maven/graph/DefaultGraphBuilder.java
32,long class,176,200,22,20,../input_projects/java_projects/maven-3-9-6/maven-core/src/main/java/org/apache/maven/plugin/MojoExecution.java
53,long class,321,200,21,20,../input_projects/java_projects/maven-3-9-6/maven-core/src/main/java/org/apache/maven/plugin/internal/DefaultPluginValidationManager.java
70,long class,233,200,7,20,../input_projects/java_projects/maven-3-9-6/maven-core/src/main/java/org/apache/maven/plugin/internal/DefaultPluginDependenciesResolver.java
119,long class,715,200,18,20,../input_projects/java_projects/maven-3-9-6/maven-core/src/main/java/org/apache/maven/plugin/internal/DefaultMavenPluginManager.java
71,long class,337,200,14,20,../input_projects/java_projects/maven-3-9-6/maven-core/src/main/java/org/apache/maven/plugin/version/internal/DefaultPluginVersionResolver.java
75,long class,298,200,8,20,../input_projects/java_projects/maven-3-9-6/maven-core/src/main/java/org/apache/maven/plugin/PluginParameterExpressionEvaluator.java
74,long class,329,200,4,20,../input_projects/java_projects/maven-3-9-6/maven-core/src/main/java/org/apache/maven/internal/aether/DefaultRepositorySystemSessionFactory.java
62,long class,220,200,9,20,../input_projects/java_projects/maven-3-9-6/maven-core/src/main/java/org/apache/maven/lifecycle/internal/MojoDescriptorCreator.java
74,long class,398,200,18,20,../input_projects/java_projects/maven-3-9-6/maven-core/src/main/java/org/apache/maven/lifecycle/internal/MojoExecutor.java
68,long class,454,200,16,20,../input_projects/java_projects/maven-3-9-6/maven-core/src/main/java/org/apache/maven/lifecycle/internal/DefaultLifecycleExecutionPlanCalculator.java
42,long class,349,200,37,20,../input_projects/java_projects/maven-3-9-6/maven-core/src/main/java/org/apache/maven/lifecycle/internal/builder/multithreaded/ThreadOutputMuxer.java
173,long class,217,200,26,20,../input_projects/java_projects/maven-3-9-6/maven-core/src/main/java/org/apache/maven/lifecycle/internal/builder/multithreaded/ThreadOutputMuxer.java
65,long class,270,200,10,20,../input_projects/java_projects/maven-3-9-6/maven-core/src/main/java/org/apache/maven/lifecycle/internal/LifecycleDependencyResolver.java
