Line,Smell,Number of Parameters,Threshold,File
1336,long parameters,9,5,../input_projects/java_projects/maven-3-9-6/maven-model-builder/src/main/java/org/apache/maven/model/validation/DefaultModelValidator.java
1449,long parameters,9,5,../input_projects/java_projects/maven-3-9-6/maven-model-builder/src/main/java/org/apache/maven/model/validation/DefaultModelValidator.java
1479,long parameters,8,5,../input_projects/java_projects/maven-3-9-6/maven-model-builder/src/main/java/org/apache/maven/model/validation/DefaultModelValidator.java
1509,long parameters,7,5,../input_projects/java_projects/maven-3-9-6/maven-model-builder/src/main/java/org/apache/maven/model/validation/DefaultModelValidator.java
1536,long parameters,6,5,../input_projects/java_projects/maven-3-9-6/maven-model-builder/src/main/java/org/apache/maven/model/validation/DefaultModelValidator.java
1569,long parameters,7,5,../input_projects/java_projects/maven-3-9-6/maven-model-builder/src/main/java/org/apache/maven/model/validation/DefaultModelValidator.java
60,long parameters,7,5,../input_projects/java_projects/maven-3-9-6/maven-model-builder/src/main/java/org/apache/maven/model/building/DefaultModelProblem.java
93,long parameters,8,5,../input_projects/java_projects/maven-3-9-6/maven-model-builder/src/main/java/org/apache/maven/model/building/DefaultModelProblem.java
1240,long parameters,6,5,../input_projects/java_projects/maven-3-9-6/maven-model-builder/src/main/java/org/apache/maven/model/building/DefaultModelBuilder.java
55,long parameters,6,5,../input_projects/java_projects/maven-3-9-6/maven-builder-support/src/main/java/org/apache/maven/building/DefaultProblem.java
78,long parameters,7,5,../input_projects/java_projects/maven-3-9-6/maven-resolver-provider/src/main/java/org/apache/maven/repository/internal/DefaultModelResolver.java
99,long parameters,7,5,../input_projects/java_projects/maven-3-9-6/maven-resolver-provider/src/main/java/org/apache/maven/repository/internal/DefaultArtifactDescriptorReader.java
33,long parameters,6,5,../input_projects/java_projects/maven-3-9-6/maven-artifact/src/test/java/org/apache/maven/artifact/versioning/DefaultArtifactVersionTest.java
80,long parameters,7,5,../input_projects/java_projects/maven-3-9-6/maven-artifact/src/main/java/org/apache/maven/artifact/DefaultArtifact.java
99,long parameters,7,5,../input_projects/java_projects/maven-3-9-6/maven-artifact/src/main/java/org/apache/maven/artifact/DefaultArtifact.java
110,long parameters,8,5,../input_projects/java_projects/maven-3-9-6/maven-artifact/src/main/java/org/apache/maven/artifact/DefaultArtifact.java
41,long parameters,6,5,../input_projects/java_projects/maven-3-9-6/maven-artifact/src/main/java/org/apache/maven/artifact/InvalidArtifactRTException.java
65,long parameters,10,5,../input_projects/java_projects/maven-3-9-6/maven-artifact/src/main/java/org/apache/maven/artifact/resolver/ArtifactNotFoundException.java
92,long parameters,9,5,../input_projects/java_projects/maven-3-9-6/maven-artifact/src/main/java/org/apache/maven/artifact/resolver/ArtifactNotFoundException.java
30,long parameters,9,5,../input_projects/java_projects/maven-3-9-6/maven-artifact/src/main/java/org/apache/maven/artifact/resolver/ArtifactResolutionException.java
44,long parameters,7,5,../input_projects/java_projects/maven-3-9-6/maven-artifact/src/main/java/org/apache/maven/artifact/resolver/ArtifactResolutionException.java
174,long parameters,7,5,../input_projects/java_projects/maven-3-9-6/maven-artifact/src/main/java/org/apache/maven/artifact/resolver/AbstractArtifactResolutionException.java
237,long parameters,9,5,../input_projects/java_projects/maven-3-9-6/maven-artifact/src/main/java/org/apache/maven/artifact/resolver/AbstractArtifactResolutionException.java
54,long parameters,8,5,../input_projects/java_projects/maven-3-9-6/maven-artifact/src/main/java/org/apache/maven/artifact/resolver/AbstractArtifactResolutionException.java
67,long parameters,9,5,../input_projects/java_projects/maven-3-9-6/maven-artifact/src/main/java/org/apache/maven/artifact/resolver/AbstractArtifactResolutionException.java
255,long parameters,6,5,../input_projects/java_projects/maven-3-9-6/maven-core/src/test/java/org/apache/maven/AbstractCoreMavenComponentTestCase.java
415,long parameters,7,5,../input_projects/java_projects/maven-3-9-6/maven-core/src/main/java/org/apache/maven/bridge/MavenRepositorySystem.java
446,long parameters,7,5,../input_projects/java_projects/maven-3-9-6/maven-core/src/main/java/org/apache/maven/bridge/MavenRepositorySystem.java
461,long parameters,7,5,../input_projects/java_projects/maven-3-9-6/maven-core/src/main/java/org/apache/maven/bridge/MavenRepositorySystem.java
472,long parameters,8,5,../input_projects/java_projects/maven-3-9-6/maven-core/src/main/java/org/apache/maven/bridge/MavenRepositorySystem.java
527,long parameters,7,5,../input_projects/java_projects/maven-3-9-6/maven-core/src/main/java/org/apache/maven/bridge/MavenRepositorySystem.java
136,long parameters,6,5,../input_projects/java_projects/maven-3-9-6/maven-core/src/main/java/org/apache/maven/plugin/DefaultPluginRealmCache.java
68,long parameters,6,5,../input_projects/java_projects/maven-3-9-6/maven-core/src/main/java/org/apache/maven/plugin/DefaultPluginRealmCache.java
77,long parameters,6,5,../input_projects/java_projects/maven-3-9-6/maven-core/src/main/java/org/apache/maven/plugin/internal/DeprecatedPluginValidator.java
68,long parameters,6,5,../input_projects/java_projects/maven-3-9-6/maven-core/src/main/java/org/apache/maven/plugin/internal/ReadOnlyPluginParametersValidator.java
588,long parameters,6,5,../input_projects/java_projects/maven-3-9-6/maven-core/src/main/java/org/apache/maven/plugin/internal/DefaultMavenPluginManager.java
75,long parameters,6,5,../input_projects/java_projects/maven-3-9-6/maven-core/src/main/java/org/apache/maven/plugin/PluginRealmCache.java
86,long parameters,6,5,../input_projects/java_projects/maven-3-9-6/maven-core/src/main/java/org/apache/maven/plugin/PluginParameterExpressionEvaluator.java
116,long parameters,7,5,../input_projects/java_projects/maven-3-9-6/maven-core/src/main/java/org/apache/maven/lifecycle/internal/builder/multithreaded/MultiThreadedBuilder.java
173,long parameters,6,5,../input_projects/java_projects/maven-3-9-6/maven-core/src/main/java/org/apache/maven/lifecycle/internal/builder/multithreaded/MultiThreadedBuilder.java
130,long parameters,6,5,../input_projects/java_projects/maven-3-9-6/maven-core/src/main/java/org/apache/maven/lifecycle/internal/builder/BuilderCommon.java
