Line,Smell,Threshold,File
4220,long message chain,4,../input_projects/java_projects/gson/proto/target/generated-test-sources/protobuf/java/com/google/gson/protobuf/generated/Bag.java
4225,long message chain,4,../input_projects/java_projects/gson/proto/target/generated-test-sources/protobuf/java/com/google/gson/protobuf/generated/Bag.java
4306,long message chain,4,../input_projects/java_projects/gson/proto/target/generated-test-sources/protobuf/java/com/google/gson/protobuf/generated/Bag.java
4633,long message chain,4,../input_projects/java_projects/gson/proto/target/generated-test-sources/protobuf/java/com/google/gson/protobuf/generated/Bag.java
4634,long message chain,4,../input_projects/java_projects/gson/proto/target/generated-test-sources/protobuf/java/com/google/gson/protobuf/generated/Bag.java
4877,long message chain,4,../input_projects/java_projects/gson/proto/target/generated-test-sources/protobuf/java/com/google/gson/protobuf/generated/Bag.java
4883,long message chain,4,../input_projects/java_projects/gson/proto/target/generated-test-sources/protobuf/java/com/google/gson/protobuf/generated/Bag.java
4917,long message chain,4,../input_projects/java_projects/gson/proto/target/generated-test-sources/protobuf/java/com/google/gson/protobuf/generated/Bag.java
4922,long message chain,4,../input_projects/java_projects/gson/proto/target/generated-test-sources/protobuf/java/com/google/gson/protobuf/generated/Bag.java
5012,long message chain,4,../input_projects/java_projects/gson/proto/target/generated-test-sources/protobuf/java/com/google/gson/protobuf/generated/Bag.java
5079,long message chain,4,../input_projects/java_projects/gson/proto/target/generated-test-sources/protobuf/java/com/google/gson/protobuf/generated/Bag.java
5091,long message chain,4,../input_projects/java_projects/gson/proto/target/generated-test-sources/protobuf/java/com/google/gson/protobuf/generated/Bag.java
5172,long message chain,4,../input_projects/java_projects/gson/proto/target/generated-test-sources/protobuf/java/com/google/gson/protobuf/generated/Bag.java
5173,long message chain,4,../input_projects/java_projects/gson/proto/target/generated-test-sources/protobuf/java/com/google/gson/protobuf/generated/Bag.java
5408,long message chain,4,../input_projects/java_projects/gson/proto/target/generated-test-sources/protobuf/java/com/google/gson/protobuf/generated/Bag.java
5416,long message chain,4,../input_projects/java_projects/gson/proto/target/generated-test-sources/protobuf/java/com/google/gson/protobuf/generated/Bag.java
5569,long message chain,4,../input_projects/java_projects/gson/proto/target/generated-test-sources/protobuf/java/com/google/gson/protobuf/generated/Bag.java
5576,long message chain,4,../input_projects/java_projects/gson/proto/target/generated-test-sources/protobuf/java/com/google/gson/protobuf/generated/Bag.java
5595,long message chain,4,../input_projects/java_projects/gson/proto/target/generated-test-sources/protobuf/java/com/google/gson/protobuf/generated/Bag.java
5602,long message chain,4,../input_projects/java_projects/gson/proto/target/generated-test-sources/protobuf/java/com/google/gson/protobuf/generated/Bag.java
5621,long message chain,4,../input_projects/java_projects/gson/proto/target/generated-test-sources/protobuf/java/com/google/gson/protobuf/generated/Bag.java
5628,long message chain,4,../input_projects/java_projects/gson/proto/target/generated-test-sources/protobuf/java/com/google/gson/protobuf/generated/Bag.java
5849,long message chain,4,../input_projects/java_projects/gson/proto/target/generated-test-sources/protobuf/java/com/google/gson/protobuf/generated/Bag.java
5855,long message chain,4,../input_projects/java_projects/gson/proto/target/generated-test-sources/protobuf/java/com/google/gson/protobuf/generated/Bag.java
5904,long message chain,4,../input_projects/java_projects/gson/proto/target/generated-test-sources/protobuf/java/com/google/gson/protobuf/generated/Bag.java
5909,long message chain,4,../input_projects/java_projects/gson/proto/target/generated-test-sources/protobuf/java/com/google/gson/protobuf/generated/Bag.java
6000,long message chain,4,../input_projects/java_projects/gson/proto/target/generated-test-sources/protobuf/java/com/google/gson/protobuf/generated/Bag.java
6180,long message chain,4,../input_projects/java_projects/gson/proto/target/generated-test-sources/protobuf/java/com/google/gson/protobuf/generated/Bag.java
6222,long message chain,4,../input_projects/java_projects/gson/proto/target/generated-test-sources/protobuf/java/com/google/gson/protobuf/generated/Bag.java
