Line,Smell,Cause,Number of Conditions,Threshold,File
130,complex conditional,long if,5,3,../input_projects/multi_projects/node/deps/v8/third_party/jinja2/nodes.py
682,complex conditional,long if,4,3,../input_projects/multi_projects/node/deps/v8/third_party/jinja2/filters.py
815,complex conditional,long if,4,3,../input_projects/multi_projects/node/deps/v8/third_party/jinja2/filters.py
325,complex conditional,long if,4,3,../input_projects/multi_projects/node/deps/v8/third_party/jinja2/ext.py
424,complex conditional,long if,4,3,../input_projects/multi_projects/node/deps/v8/third_party/jinja2/ext.py
487,complex conditional,long if,8,3,../input_projects/multi_projects/node/deps/v8/third_party/jinja2/ext.py
553,complex conditional,long if,4,3,../input_projects/multi_projects/node/deps/v8/third_party/jinja2/ext.py
81,complex conditional,long if,5,3,../input_projects/multi_projects/node/deps/v8/third_party/jinja2/meta.py
98,complex conditional,long if,4,3,../input_projects/multi_projects/node/deps/v8/third_party/jinja2/meta.py
449,complex conditional,long if,4,3,../input_projects/multi_projects/node/deps/v8/third_party/inspector_protocol/code_generator.py
660,complex conditional,long if,4,3,../input_projects/multi_projects/node/deps/v8/third_party/inspector_protocol/code_generator.py
21,complex conditional,long if,4,3,../input_projects/multi_projects/node/deps/v8/third_party/ittapi/buildall.py
89,complex conditional,long if,4,3,../input_projects/multi_projects/node/deps/v8/third_party/ittapi/buildall.py
144,complex conditional,long if,4,3,../input_projects/multi_projects/node/deps/v8/third_party/ittapi/buildall.py
157,complex conditional,long if,6,3,../input_projects/multi_projects/node/deps/v8/third_party/ittapi/buildall.py
35,complex conditional,long if,5,3,../input_projects/multi_projects/node/deps/v8/third_party/test262-harness/src/_monkeyYaml.py
56,complex conditional,long if,5,3,../input_projects/multi_projects/node/deps/v8/third_party/test262-harness/src/_monkeyYaml.py
91,complex conditional,long if,5,3,../input_projects/multi_projects/node/deps/v8/third_party/test262-harness/src/_monkeyYaml.py
122,complex conditional,long if,8,3,../input_projects/multi_projects/node/deps/v8/third_party/test262-harness/src/_monkeyYaml.py
78,complex conditional,long if,4,3,../input_projects/multi_projects/node/deps/v8/third_party/test262-harness/src/_packager.py
148,complex conditional,long if,4,3,../input_projects/multi_projects/node/deps/v8/third_party/test262-harness/src/_packager.py
