Line,Smell,Number of Parameters,Threshold,File
2321,long parameters,10,5,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/generator/msvs.py
3502,long parameters,8,5,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/generator/msvs.py
3545,long parameters,8,5,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/generator/msvs.py
3952,long parameters,8,5,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/generator/msvs.py
340,long parameters,6,5,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/generator/analyzer.py
632,long parameters,9,5,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/generator/analyzer.py
78,long parameters,6,5,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/generator/eclipse.py
201,long parameters,6,5,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/generator/eclipse.py
330,long parameters,8,5,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/generator/eclipse.py
111,long parameters,10,5,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/generator/android.py
888,long parameters,7,5,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/generator/android.py
967,long parameters,6,5,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/generator/android.py
816,long parameters,7,5,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/generator/make.py
997,long parameters,6,5,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/generator/make.py
1122,long parameters,6,5,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/generator/make.py
1363,long parameters,8,5,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/generator/make.py
1671,long parameters,8,5,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/generator/make.py
2070,long parameters,7,5,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/generator/make.py
2097,long parameters,9,5,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/generator/make.py
42,long parameters,11,5,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/ninja_syntax.py
74,long parameters,7,5,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/ninja_syntax.py
442,long parameters,6,5,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/mac_tool.py
223,long parameters,6,5,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/input.py
271,long parameters,6,5,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/input.py
362,long parameters,8,5,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/input.py
500,long parameters,7,5,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/input.py
607,long parameters,7,5,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/input.py
1162,long parameters,6,5,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/input.py
2214,long parameters,6,5,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/input.py
2952,long parameters,9,5,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/input.py
54,long parameters,6,5,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/MSVSProject.py
1420,long parameters,6,5,../input_projects/multi_projects/node/tools/cpplint.py
4943,long parameters,6,5,../input_projects/multi_projects/node/tools/cpplint.py
5364,long parameters,7,5,../input_projects/multi_projects/node/tools/cpplint.py
5953,long parameters,6,5,../input_projects/multi_projects/node/tools/cpplint.py
6477,long parameters,9,5,../input_projects/multi_projects/node/tools/cpplint.py
39,long parameters,8,5,../input_projects/multi_projects/node/test/message/testcfg.py
40,long parameters,8,5,../input_projects/multi_projects/node/test/testpy/__init__.py
43,long parameters,9,5,../input_projects/multi_projects/node/test/pseudo-tty/testcfg.py
13,long parameters,6,5,../input_projects/multi_projects/node/deps/v8/tools/testrunner/outproc/message.py
122,long parameters,7,5,../input_projects/multi_projects/node/deps/v8/tools/testrunner/objects/testcase.py
37,long parameters,7,5,../input_projects/multi_projects/node/deps/v8/tools/testrunner/objects/output.py
183,long parameters,7,5,../input_projects/multi_projects/node/deps/v8/tools/testrunner/utils/test_utils.py
262,long parameters,9,5,../input_projects/multi_projects/node/deps/v8/tools/testrunner/utils/test_utils.py
74,long parameters,9,5,../input_projects/multi_projects/node/deps/v8/tools/testrunner/local/command.py
241,long parameters,9,5,../input_projects/multi_projects/node/deps/v8/tools/testrunner/local/command.py
333,long parameters,9,5,../input_projects/multi_projects/node/deps/v8/tools/testrunner/local/command.py
164,long parameters,8,5,../input_projects/multi_projects/node/deps/v8/tools/testrunner/local/android.py
86,long parameters,6,5,../input_projects/multi_projects/node/deps/v8/tools/testrunner/local/testsuite.py
171,long parameters,6,5,../input_projects/multi_projects/node/deps/v8/tools/testrunner/local/statusfile.py
9,long parameters,17,5,../input_projects/multi_projects/node/deps/v8/tools/testrunner/test_config.py
58,long parameters,6,5,../input_projects/multi_projects/node/deps/v8/tools/disasm.py
2972,long parameters,7,5,../input_projects/multi_projects/node/deps/v8/tools/grokdump.py
3124,long parameters,6,5,../input_projects/multi_projects/node/deps/v8/tools/grokdump.py
