Line,Smell,Number of Lines,Threshold_nol,Number of Children,Threshold_noc,File
68,long class,275,200,28,20,../input_projects/java_projects/junit5/platform-tests/src/test/java/org/junit/platform/launcher/listeners/UniqueIdTrackingListenerIntegrationTests.java
39,long class,238,200,12,20,../input_projects/java_projects/junit5/platform-tests/src/test/java/org/junit/platform/launcher/listeners/SummaryGenerationTests.java
81,long class,1858,200,192,20,../input_projects/java_projects/junit5/platform-tests/src/test/java/org/junit/platform/commons/util/ReflectionUtilsTests.java
53,long class,254,200,25,20,../input_projects/java_projects/junit5/platform-tests/src/test/java/org/junit/platform/commons/util/CollectionUtilsTests.java
34,long class,234,200,28,20,../input_projects/java_projects/junit5/platform-tests/src/test/java/org/junit/platform/commons/util/PreconditionsTests.java
54,long class,357,200,33,20,../input_projects/java_projects/junit5/platform-tests/src/test/java/org/junit/platform/commons/util/ClasspathScannerTests.java
52,long class,915,200,81,20,../input_projects/java_projects/junit5/platform-tests/src/test/java/org/junit/platform/commons/util/AnnotationUtilsTests.java
27,long class,141,200,21,20,../input_projects/java_projects/junit5/platform-tests/src/test/java/org/junit/platform/commons/util/ToStringBuilderTests.java
36,long class,295,200,26,20,../input_projects/java_projects/junit5/platform-tests/src/test/java/org/junit/platform/commons/support/ReflectionSupportTests.java
34,long class,291,200,21,20,../input_projects/java_projects/junit5/platform-tests/src/test/java/org/junit/platform/commons/support/AnnotationSupportTests.java
35,long class,208,200,32,20,../input_projects/java_projects/junit5/platform-tests/src/test/java/org/junit/platform/commons/support/ModifierSupportTests.java
93,long class,808,200,49,20,../input_projects/java_projects/junit5/platform-tests/src/test/java/org/junit/platform/runner/JUnitPlatformRunnerTests.java
97,long class,403,200,25,20,../input_projects/java_projects/junit5/platform-tests/src/test/java/org/junit/platform/runner/JUnitPlatformRunnerTests.java
35,long class,252,200,22,20,../input_projects/java_projects/junit5/platform-tests/src/test/java/org/junit/platform/testkit/engine/EventsTests.java
79,long class,559,200,46,20,../input_projects/java_projects/junit5/platform-tests/src/test/java/org/junit/platform/suite/commons/SuiteLauncherDiscoveryRequestBuilderTests.java
63,long class,346,200,23,20,../input_projects/java_projects/junit5/platform-tests/src/test/java/org/junit/platform/suite/engine/SuiteEngineTests.java
58,long class,1097,200,100,20,../input_projects/java_projects/junit5/platform-tests/src/test/java/org/junit/platform/engine/discovery/DiscoverySelectorsTests.java
330,long class,467,200,45,20,../input_projects/java_projects/junit5/platform-tests/src/test/java/org/junit/platform/engine/discovery/DiscoverySelectorsTests.java
799,long class,295,200,19,20,../input_projects/java_projects/junit5/platform-tests/src/test/java/org/junit/platform/engine/discovery/DiscoverySelectorsTests.java
38,long class,219,200,18,20,../input_projects/java_projects/junit5/platform-tests/src/test/java/org/junit/platform/engine/support/hierarchical/NodeTreeWalkerIntegrationTests.java
77,long class,768,200,77,20,../input_projects/java_projects/junit5/platform-tests/src/test/java/org/junit/platform/engine/support/hierarchical/ParallelExecutionIntegrationTests.java
61,long class,692,200,35,20,../input_projects/java_projects/junit5/platform-tests/src/test/java/org/junit/platform/engine/support/hierarchical/HierarchicalTestExecutorTests.java
30,long class,263,200,40,20,../input_projects/java_projects/junit5/platform-tests/src/test/java/org/junit/platform/engine/support/descriptor/MethodSourceTests.java
38,long class,409,200,36,20,../input_projects/java_projects/junit5/platform-tests/src/test/java/org/junit/platform/engine/support/store/NamespacedHierarchicalStoreTests.java
51,long class,273,200,25,20,../input_projects/java_projects/junit5/platform-tests/src/test/java/org/junit/platform/engine/support/store/NamespacedHierarchicalStoreTests.java
36,long class,263,200,27,20,../input_projects/java_projects/junit5/platform-tests/src/test/java/org/junit/platform/engine/UniqueIdTests.java
41,long class,209,200,19,20,../input_projects/java_projects/junit5/platform-tests/src/test/java/org/junit/platform/StackTracePruningTests.java
49,long class,544,200,53,20,../input_projects/java_projects/junit5/platform-tests/src/test/java/org/junit/platform/console/options/CommandLineOptionsParsingTests.java
55,long class,284,200,24,20,../input_projects/java_projects/junit5/platform-tests/src/test/java/org/junit/platform/console/tasks/DiscoveryRequestCreatorTests.java
22,long class,137,200,21,20,../input_projects/java_projects/junit5/platform-tests/src/test/java/org/junit/platform/console/ConsoleLauncherWrapperResult.java
50,long class,201,200,19,20,../input_projects/java_projects/junit5/platform-tests/src/test/java/org/junit/platform/console/ConsoleDetailsTests.java
112,long class,1503,200,194,20,../input_projects/java_projects/junit5/junit-jupiter-params/src/test/java/org/junit/jupiter/params/ParameterizedTestIntegrationTests.java
1036,long class,153,200,25,20,../input_projects/java_projects/junit5/junit-jupiter-params/src/test/java/org/junit/jupiter/params/ParameterizedTestIntegrationTests.java
1232,long class,175,200,32,20,../input_projects/java_projects/junit5/junit-jupiter-params/src/test/java/org/junit/jupiter/params/ParameterizedTestIntegrationTests.java
58,long class,277,200,28,20,../input_projects/java_projects/junit5/junit-jupiter-params/src/test/java/org/junit/jupiter/params/converter/DefaultArgumentConverterTests.java
32,long class,211,200,32,20,../input_projects/java_projects/junit5/junit-jupiter-params/src/test/java/org/junit/jupiter/params/converter/FallbackStringToObjectConverterTests.java
