Line,Smell,Threshold,File
149,long message chain,4,../input_projects/java_projects/junit5/platform-tooling-support-tests/src/main/java/platform/tooling/support/Helper.java
26,long message chain,4,../input_projects/java_projects/junit5/platform-tooling-support-tests/src/main/java/platform/tooling/support/ThirdPartyJars.java
162,long message chain,4,../input_projects/java_projects/junit5/junit-jupiter-api/src/main/java/org/junit/jupiter/api/AssertIterableEquals.java
174,long message chain,4,../input_projects/java_projects/junit5/junit-jupiter-api/src/main/java/org/junit/jupiter/api/AssertIterableEquals.java
59,long message chain,4,../input_projects/java_projects/junit5/junit-jupiter-api/src/main/java/org/junit/jupiter/api/AssertTrue.java
197,long message chain,4,../input_projects/java_projects/junit5/junit-jupiter-api/src/main/java/org/junit/jupiter/api/AssertLinesMatch.java
46,long message chain,4,../input_projects/java_projects/junit5/junit-jupiter-api/src/main/java/org/junit/jupiter/api/AssertSame.java
61,long message chain,4,../input_projects/java_projects/junit5/junit-jupiter-api/src/main/java/org/junit/jupiter/api/AssertThrowsExactly.java
423,long message chain,4,../input_projects/java_projects/junit5/junit-jupiter-api/src/main/java/org/junit/jupiter/api/AssertArrayEquals.java
435,long message chain,4,../input_projects/java_projects/junit5/junit-jupiter-api/src/main/java/org/junit/jupiter/api/AssertArrayEquals.java
128,long message chain,4,../input_projects/java_projects/junit5/junit-jupiter-api/src/main/java/org/junit/jupiter/api/AssertTimeoutPreemptively.java
319,long message chain,4,../input_projects/java_projects/junit5/junit-jupiter-api/src/main/java/org/junit/jupiter/api/DisplayNameGenerator.java
50,long message chain,4,../input_projects/java_projects/junit5/junit-jupiter-api/src/main/java/org/junit/jupiter/api/condition/AbstractRepeatableAnnotationCondition.java
193,long message chain,4,../input_projects/java_projects/junit5/junit-jupiter-api/src/main/java/org/junit/jupiter/api/AssertEquals.java
80,long message chain,4,../input_projects/java_projects/junit5/junit-jupiter-api/src/main/java/org/junit/jupiter/api/AssertDoesNotThrow.java
178,long message chain,4,../input_projects/java_projects/junit5/junit-platform-commons/src/main/java9/org/junit/platform/commons/util/ModuleUtils.java
99,long message chain,4,../input_projects/java_projects/junit5/junit-platform-commons/src/main/java/org/junit/platform/commons/util/ClasspathScanner.java
69,long message chain,4,../input_projects/java_projects/junit5/junit-platform-commons/src/main/java/org/junit/platform/commons/util/ClassNamePatternFilterUtils.java
88,long message chain,4,../input_projects/java_projects/junit5/junit-platform-commons/src/main/java/org/junit/platform/commons/util/ClassNamePatternFilterUtils.java
380,long message chain,4,../input_projects/java_projects/junit5/junit-platform-commons/src/main/java/org/junit/platform/commons/util/AnnotationUtils.java
1599,long message chain,4,../input_projects/java_projects/junit5/junit-platform-commons/src/main/java/org/junit/platform/commons/util/ReflectionUtils.java
108,long message chain,4,../input_projects/java_projects/junit5/junit-platform-reporting/src/main/java/org/junit/platform/reporting/legacy/xml/XmlReportData.java
54,long message chain,4,../input_projects/java_projects/junit5/junit-platform-reporting/src/main/java/org/junit/platform/reporting/legacy/LegacyReportingUtils.java
104,long message chain,4,../input_projects/java_projects/junit5/junit-platform-reporting/src/main/java/org/junit/platform/reporting/open/xml/OpenTestReportGeneratingListener.java
134,long message chain,4,../input_projects/java_projects/junit5/junit-platform-reporting/src/main/java/org/junit/platform/reporting/open/xml/OpenTestReportGeneratingListener.java
159,long message chain,4,../input_projects/java_projects/junit5/junit-platform-runner/src/main/java/org/junit/platform/runner/JUnitPlatformTestTree.java
81,long message chain,4,../input_projects/java_projects/junit5/platform-tests/src/test/java/org/junit/platform/reporting/legacy/LegacyReportingUtilsTests.java
110,long message chain,4,../input_projects/java_projects/junit5/platform-tests/src/test/java/org/junit/platform/reporting/open/xml/OpenTestReportGeneratingListenerTests.java
122,long message chain,4,../input_projects/java_projects/junit5/platform-tests/src/test/java/org/junit/platform/reporting/open/xml/OpenTestReportGeneratingListenerTests.java
75,long message chain,4,../input_projects/java_projects/junit5/platform-tests/src/test/java/org/junit/platform/launcher/core/StreamInterceptingTestExecutionListenerIntegrationTests.java
169,long message chain,4,../input_projects/java_projects/junit5/platform-tests/src/test/java/org/junit/platform/launcher/core/LauncherDiscoveryRequestBuilderTests.java
250,long message chain,4,../input_projects/java_projects/junit5/platform-tests/src/test/java/org/junit/platform/launcher/core/LauncherFactoryTests.java
163,long message chain,4,../input_projects/java_projects/junit5/platform-tests/src/test/java/org/junit/platform/launcher/core/DefaultLauncherEngineFilterTests.java
91,long message chain,4,../input_projects/java_projects/junit5/platform-tests/src/test/java/org/junit/platform/launcher/listeners/UniqueIdTrackingListenerIntegrationTests.java
95,long message chain,4,../input_projects/java_projects/junit5/platform-tests/src/test/java/org/junit/platform/launcher/listeners/UniqueIdTrackingListenerIntegrationTests.java
221,long message chain,4,../input_projects/java_projects/junit5/platform-tests/src/test/java/org/junit/platform/launcher/listeners/UniqueIdTrackingListenerIntegrationTests.java
90,long message chain,4,../input_projects/java_projects/junit5/platform-tests/src/test/java/org/junit/platform/testkit/engine/ExecutionsIntegrationTests.java
103,long message chain,4,../input_projects/java_projects/junit5/platform-tests/src/test/java/org/junit/platform/testkit/engine/NestedContainerEventConditionTests.java
68,long message chain,4,../input_projects/java_projects/junit5/platform-tests/src/test/java/org/junit/platform/suite/engine/SuiteEngineTests.java
106,long message chain,4,../input_projects/java_projects/junit5/platform-tests/src/test/java/org/junit/platform/suite/engine/SuiteEngineTests.java
118,long message chain,4,../input_projects/java_projects/junit5/platform-tests/src/test/java/org/junit/platform/suite/engine/SuiteEngineTests.java
136,long message chain,4,../input_projects/java_projects/junit5/platform-tests/src/test/java/org/junit/platform/suite/engine/SuiteEngineTests.java
155,long message chain,4,../input_projects/java_projects/junit5/platform-tests/src/test/java/org/junit/platform/suite/engine/SuiteEngineTests.java
