Line,Smell,Number of Lines,Threshold,File
233,long method,197,100,../input_projects/multi_projects/jython/lib-python/2.7/test/test_float.py
1081,long method,284,100,../input_projects/multi_projects/jython/lib-python/2.7/test/test_float.py
221,long method,161,100,../input_projects/multi_projects/jython/lib-python/2.7/test/test_complex.py
125,long method,126,100,../input_projects/multi_projects/jython/lib-python/2.7/test/test_codeop.py
16,long method,133,100,../input_projects/multi_projects/jython/lib-python/2.7/test/test_userdict.py
16,long method,174,100,../input_projects/multi_projects/jython/lib-python/2.7/test/test_uuid.py
108,long method,143,100,../input_projects/multi_projects/jython/lib-python/2.7/test/test_tools.py
310,long method,145,100,../input_projects/multi_projects/jython/lib-python/2.7/test/test_long.py
1069,long method,104,100,../input_projects/multi_projects/jython/lib-python/2.7/test/test_builtin.py
1505,long method,128,100,../input_projects/multi_projects/jython/lib-python/2.7/test/test_builtin.py
79,long method,110,100,../input_projects/multi_projects/jython/lib-python/2.7/test/test_hmac.py
56,long method,244,100,../input_projects/multi_projects/jython/lib-python/2.7/test/test_format.py
644,long method,147,100,../input_projects/multi_projects/jython/lib-python/2.7/test/test_math.py
119,long method,130,100,../input_projects/multi_projects/jython/lib-python/2.7/test/test_mmap.py
296,long method,152,100,../input_projects/multi_projects/jython/lib-python/2.7/test/test_types.py
450,long method,106,100,../input_projects/multi_projects/jython/lib-python/2.7/test/test_types.py
586,long method,137,100,../input_projects/multi_projects/jython/lib-python/2.7/test/test_types.py
395,long method,114,100,../input_projects/multi_projects/jython/lib-python/2.7/cgi.py
619,long method,102,100,../input_projects/multi_projects/jython/lib-python/2.7/subprocess.py
1142,long method,135,100,../input_projects/multi_projects/jython/lib-python/2.7/subprocess.py
350,long method,108,100,../input_projects/multi_projects/jython/lib-python/2.7/difflib.py
1352,long method,261,100,../input_projects/multi_projects/jython/lib-python/2.7/difflib.py
583,long method,122,100,../input_projects/multi_projects/jython/lib-python/2.7/pydoc.py
707,long method,150,100,../input_projects/multi_projects/jython/lib-python/2.7/pydoc.py
1131,long method,118,100,../input_projects/multi_projects/jython/lib-python/2.7/pydoc.py
