Line,Smell,Cause,Number of Conditions,Threshold,File
256,complex conditional,long if,5,3,../input_projects/multi_projects/jython/lib-python/2.7/plat-mac/pimp.py
330,complex conditional,long if,4,3,../input_projects/multi_projects/jython/lib-python/2.7/plat-mac/pimp.py
395,complex conditional,long if,5,3,../input_projects/multi_projects/jython/lib-python/2.7/plat-mac/pimp.py
426,complex conditional,long if,5,3,../input_projects/multi_projects/jython/lib-python/2.7/plat-mac/pimp.py
478,complex conditional,long if,6,3,../input_projects/multi_projects/jython/lib-python/2.7/plat-mac/pimp.py
645,complex conditional,long if,5,3,../input_projects/multi_projects/jython/lib-python/2.7/plat-mac/pimp.py
679,complex conditional,long if,4,3,../input_projects/multi_projects/jython/lib-python/2.7/plat-mac/pimp.py
876,complex conditional,long if,4,3,../input_projects/multi_projects/jython/lib-python/2.7/plat-mac/pimp.py
1023,complex conditional,long if,17,3,../input_projects/multi_projects/jython/lib-python/2.7/plat-mac/pimp.py
48,complex conditional,long if,12,3,../input_projects/multi_projects/jython/lib-python/2.7/plat-mac/gensuitemodule.py
197,complex conditional,long if,4,3,../input_projects/multi_projects/jython/lib-python/2.7/plat-mac/gensuitemodule.py
579,complex conditional,long if,4,3,../input_projects/multi_projects/jython/lib-python/2.7/plat-mac/gensuitemodule.py
968,complex conditional,long if,4,3,../input_projects/multi_projects/jython/lib-python/2.7/plat-mac/gensuitemodule.py
993,complex conditional,long if,5,3,../input_projects/multi_projects/jython/lib-python/2.7/plat-mac/gensuitemodule.py
1018,complex conditional,long if,4,3,../input_projects/multi_projects/jython/lib-python/2.7/plat-mac/gensuitemodule.py
99,complex conditional,long if,7,3,../input_projects/multi_projects/jython/lib-python/2.7/plat-mac/PixMapWrapper.py
123,complex conditional,long if,5,3,../input_projects/multi_projects/jython/lib-python/2.7/plat-mac/PixMapWrapper.py
488,complex conditional,long if,5,3,../input_projects/multi_projects/jython/lib-python/2.7/plat-mac/aetypes.py
520,complex conditional,long if,4,3,../input_projects/multi_projects/jython/lib-python/2.7/plat-mac/aetypes.py
173,complex conditional,long if,4,3,../input_projects/multi_projects/jython/lib-python/2.7/plat-mac/aetools.py
160,complex conditional,long if,4,3,../input_projects/multi_projects/jython/lib-python/2.7/tempfile.py
401,complex conditional,long if,4,3,../input_projects/multi_projects/jython/lib-python/2.7/tempfile.py
462,complex conditional,long if,4,3,../input_projects/multi_projects/jython/lib-python/2.7/tempfile.py
43,complex conditional,long if,4,3,../input_projects/multi_projects/jython/lib-python/2.7/encodings/idna.py
208,complex conditional,long if,5,3,../input_projects/multi_projects/jython/lib-python/2.7/encodings/idna.py
143,complex conditional,long if,4,3,../input_projects/multi_projects/jython/lib-python/2.7/encodings/punycode.py
121,complex conditional,long if,5,3,../input_projects/multi_projects/jython/lib-python/2.7/encodings/__init__.py
54,complex conditional,long if,5,3,../input_projects/multi_projects/jython/lib-python/2.7/encodings/utf_32.py
88,complex conditional,long if,5,3,../input_projects/multi_projects/jython/lib-python/2.7/encodings/utf_32.py
131,complex conditional,long if,4,3,../input_projects/multi_projects/jython/lib-python/2.7/encodings/utf_32.py
53,complex conditional,long if,5,3,../input_projects/multi_projects/jython/lib-python/2.7/encodings/utf_8_sig.py
93,complex conditional,long if,4,3,../input_projects/multi_projects/jython/lib-python/2.7/encodings/utf_8_sig.py
120,complex conditional,long if,7,3,../input_projects/multi_projects/jython/lib-python/2.7/Queue.py
163,complex conditional,long if,6,3,../input_projects/multi_projects/jython/lib-python/2.7/Queue.py
214,complex conditional,long if,4,3,../input_projects/multi_projects/jython/lib-python/2.7/_pyio.py
463,complex conditional,long if,4,3,../input_projects/multi_projects/jython/lib-python/2.7/_pyio.py
855,complex conditional,long if,5,3,../input_projects/multi_projects/jython/lib-python/2.7/_pyio.py
951,complex conditional,long if,4,3,../input_projects/multi_projects/jython/lib-python/2.7/_pyio.py
1013,complex conditional,long if,4,3,../input_projects/multi_projects/jython/lib-python/2.7/_pyio.py
1399,complex conditional,long if,4,3,../input_projects/multi_projects/jython/lib-python/2.7/_pyio.py
1789,complex conditional,long if,4,3,../input_projects/multi_projects/jython/lib-python/2.7/_pyio.py
1901,complex conditional,long if,10,3,../input_projects/multi_projects/jython/lib-python/2.7/_pyio.py
108,complex conditional,long if,5,3,../input_projects/multi_projects/jython/lib-python/2.7/pkgutil.py
258,complex conditional,long if,4,3,../input_projects/multi_projects/jython/lib-python/2.7/pkgutil.py
279,complex conditional,long if,5,3,../input_projects/multi_projects/jython/lib-python/2.7/pkgutil.py
296,complex conditional,long if,6,3,../input_projects/multi_projects/jython/lib-python/2.7/pkgutil.py
166,complex conditional,long if,9,3,../input_projects/multi_projects/jython/lib-python/2.7/distutils/unixccompiler.py
228,complex conditional,long if,6,3,../input_projects/multi_projects/jython/lib-python/2.7/distutils/unixccompiler.py
280,complex conditional,long if,4,3,../input_projects/multi_projects/jython/lib-python/2.7/distutils/unixccompiler.py
84,complex conditional,long if,7,3,../input_projects/multi_projects/jython/lib-python/2.7/distutils/filelist.py
123,complex conditional,long if,17,3,../input_projects/multi_projects/jython/lib-python/2.7/distutils/filelist.py
331,complex conditional,long if,4,3,../input_projects/multi_projects/jython/lib-python/2.7/distutils/filelist.py
1039,complex conditional,long if,4,3,../input_projects/multi_projects/jython/lib-python/2.7/distutils/ccompiler.py
242,complex conditional,long if,4,3,../input_projects/multi_projects/jython/lib-python/2.7/distutils/msvc9compiler.py
361,complex conditional,long if,4,3,../input_projects/multi_projects/jython/lib-python/2.7/distutils/msvc9compiler.py
496,complex conditional,long if,5,3,../input_projects/multi_projects/jython/lib-python/2.7/distutils/msvc9compiler.py
610,complex conditional,long if,9,3,../input_projects/multi_projects/jython/lib-python/2.7/distutils/msvc9compiler.py
140,complex conditional,long if,5,3,../input_projects/multi_projects/jython/lib-python/2.7/distutils/archive_util.py
232,complex conditional,long if,6,3,../input_projects/multi_projects/jython/lib-python/2.7/distutils/cmd.py
54,complex conditional,long if,10,3,../input_projects/multi_projects/jython/lib-python/2.7/distutils/config.py
141,complex conditional,long if,6,3,../input_projects/multi_projects/jython/lib-python/2.7/distutils/version.py
23,complex conditional,long if,4,3,../input_projects/multi_projects/jython/lib-python/2.7/distutils/log.py
66,complex conditional,long if,4,3,../input_projects/multi_projects/jython/lib-python/2.7/distutils/log.py
40,complex conditional,long if,5,3,../input_projects/multi_projects/jython/lib-python/2.7/distutils/util.py
74,complex conditional,long if,9,3,../input_projects/multi_projects/jython/lib-python/2.7/distutils/util.py
144,complex conditional,long if,7,3,../input_projects/multi_projects/jython/lib-python/2.7/distutils/util.py
257,complex conditional,long if,6,3,../input_projects/multi_projects/jython/lib-python/2.7/distutils/util.py
380,complex conditional,long if,13,3,../input_projects/multi_projects/jython/lib-python/2.7/distutils/util.py
182,complex conditional,long if,5,3,../input_projects/multi_projects/jython/lib-python/2.7/distutils/fancy_getopt.py
368,complex conditional,long if,4,3,../input_projects/multi_projects/jython/lib-python/2.7/distutils/fancy_getopt.py
445,complex conditional,long if,4,3,../input_projects/multi_projects/jython/lib-python/2.7/distutils/fancy_getopt.py
207,complex conditional,long if,5,3,../input_projects/multi_projects/jython/lib-python/2.7/distutils/tests/support.py
237,complex conditional,long if,4,3,../input_projects/multi_projects/jython/lib-python/2.7/distutils/tests/setuptools_build_ext.py
110,complex conditional,long if,4,3,../input_projects/multi_projects/jython/lib-python/2.7/distutils/versionpredicate.py
139,complex conditional,long if,5,3,../input_projects/multi_projects/jython/lib-python/2.7/distutils/file_util.py
157,complex conditional,long if,4,3,../input_projects/multi_projects/jython/lib-python/2.7/distutils/file_util.py
149,complex conditional,long if,4,3,../input_projects/multi_projects/jython/lib-python/2.7/distutils/core.py
64,complex conditional,long if,6,3,../input_projects/multi_projects/jython/lib-python/2.7/distutils/cygwinccompiler.py
191,complex conditional,long if,19,3,../input_projects/multi_projects/jython/lib-python/2.7/distutils/extension.py
37,complex conditional,long if,4,3,../input_projects/multi_projects/jython/lib-python/2.7/distutils/spawn.py
70,complex conditional,long if,5,3,../input_projects/multi_projects/jython/lib-python/2.7/distutils/spawn.py
93,complex conditional,long if,5,3,../input_projects/multi_projects/jython/lib-python/2.7/distutils/spawn.py
123,complex conditional,long if,6,3,../input_projects/multi_projects/jython/lib-python/2.7/distutils/spawn.py
145,complex conditional,long if,14,3,../input_projects/multi_projects/jython/lib-python/2.7/distutils/spawn.py
188,complex conditional,long if,5,3,../input_projects/multi_projects/jython/lib-python/2.7/distutils/text_file.py
229,complex conditional,long if,7,3,../input_projects/multi_projects/jython/lib-python/2.7/distutils/text_file.py
260,complex conditional,long if,4,3,../input_projects/multi_projects/jython/lib-python/2.7/distutils/text_file.py
272,complex conditional,long if,4,3,../input_projects/multi_projects/jython/lib-python/2.7/distutils/text_file.py
376,complex conditional,long if,5,3,../input_projects/multi_projects/jython/lib-python/2.7/distutils/msvccompiler.py
494,complex conditional,long if,8,3,../input_projects/multi_projects/jython/lib-python/2.7/distutils/msvccompiler.py
78,complex conditional,long if,5,3,../input_projects/multi_projects/jython/lib-python/2.7/distutils/dep_util.py
182,complex conditional,long if,8,3,../input_projects/multi_projects/jython/lib-python/2.7/distutils/command/build_ext.py
266,complex conditional,long if,4,3,../input_projects/multi_projects/jython/lib-python/2.7/distutils/command/build_ext.py
402,complex conditional,long if,5,3,../input_projects/multi_projects/jython/lib-python/2.7/distutils/command/build_ext.py
595,complex conditional,long if,5,3,../input_projects/multi_projects/jython/lib-python/2.7/distutils/command/build_ext.py
700,complex conditional,long if,11,3,../input_projects/multi_projects/jython/lib-python/2.7/distutils/command/build_ext.py
100,complex conditional,long if,5,3,../input_projects/multi_projects/jython/lib-python/2.7/distutils/command/config.py
71,complex conditional,long if,4,3,../input_projects/multi_projects/jython/lib-python/2.7/distutils/command/check.py
99,complex conditional,long if,5,3,../input_projects/multi_projects/jython/lib-python/2.7/distutils/command/check.py
121,complex conditional,long if,4,3,../input_projects/multi_projects/jython/lib-python/2.7/distutils/command/upload.py
73,complex conditional,long if,4,3,../input_projects/multi_projects/jython/lib-python/2.7/distutils/command/register.py
155,complex conditional,long if,10,3,../input_projects/multi_projects/jython/lib-python/2.7/distutils/command/register.py
334,complex conditional,long if,4,3,../input_projects/multi_projects/jython/lib-python/2.7/distutils/command/bdist_wininst.py
107,complex conditional,long if,4,3,../input_projects/multi_projects/jython/lib-python/2.7/distutils/command/install_lib.py
151,complex conditional,long if,5,3,../input_projects/multi_projects/jython/lib-python/2.7/distutils/command/build_py.py
189,complex conditional,long if,4,3,../input_projects/multi_projects/jython/lib-python/2.7/distutils/command/build_py.py
315,complex conditional,long if,4,3,../input_projects/multi_projects/jython/lib-python/2.7/distutils/command/build_py.py
235,complex conditional,long if,5,3,../input_projects/multi_projects/jython/lib-python/2.7/distutils/command/sdist.py
275,complex conditional,long if,5,3,../input_projects/multi_projects/jython/lib-python/2.7/distutils/command/sdist.py
92,complex conditional,long if,6,3,../input_projects/multi_projects/jython/lib-python/2.7/distutils/command/build_scripts.py
117,complex conditional,long if,4,3,../input_projects/multi_projects/jython/lib-python/2.7/distutils/command/build_scripts.py
197,complex conditional,long if,4,3,../input_projects/multi_projects/jython/lib-python/2.7/distutils/command/bdist_rpm.py
382,complex conditional,long if,6,3,../input_projects/multi_projects/jython/lib-python/2.7/distutils/command/bdist_rpm.py
383,complex conditional,long if,4,3,../input_projects/multi_projects/jython/lib-python/2.7/distutils/command/install.py
414,complex conditional,long if,7,3,../input_projects/multi_projects/jython/lib-python/2.7/distutils/command/install.py
445,complex conditional,long if,5,3,../input_projects/multi_projects/jython/lib-python/2.7/distutils/command/install.py
512,complex conditional,long if,5,3,../input_projects/multi_projects/jython/lib-python/2.7/distutils/command/install.py
303,complex conditional,long if,6,3,../input_projects/multi_projects/jython/lib-python/2.7/distutils/command/bdist_msi.py
34,complex conditional,long if,4,3,../input_projects/multi_projects/jython/lib-python/2.7/distutils/command/install_egg_info.py
47,complex conditional,long if,6,3,../input_projects/multi_projects/jython/lib-python/2.7/distutils/command/install_data.py
151,complex conditional,long if,5,3,../input_projects/multi_projects/jython/lib-python/2.7/distutils/dir_util.py
80,complex conditional,long if,6,3,../input_projects/multi_projects/jython/lib-python/2.7/distutils/sysconfig.py
121,complex conditional,long if,8,3,../input_projects/multi_projects/jython/lib-python/2.7/distutils/sysconfig.py
157,complex conditional,long if,14,3,../input_projects/multi_projects/jython/lib-python/2.7/distutils/sysconfig.py
327,complex conditional,long if,7,3,../input_projects/multi_projects/jython/lib-python/2.7/distutils/sysconfig.py
451,complex conditional,long if,4,3,../input_projects/multi_projects/jython/lib-python/2.7/distutils/sysconfig.py
233,complex conditional,long if,9,3,../input_projects/multi_projects/jython/lib-python/2.7/distutils/dist.py
279,complex conditional,long if,4,3,../input_projects/multi_projects/jython/lib-python/2.7/distutils/dist.py
408,complex conditional,long if,4,3,../input_projects/multi_projects/jython/lib-python/2.7/distutils/dist.py
569,complex conditional,long if,5,3,../input_projects/multi_projects/jython/lib-python/2.7/distutils/dist.py
