Line,Smell,Number of Parameters,Threshold,File
464,long parameters,14,5,../input_projects/multi_projects/jython/lib-python/2.7/distutils/msvccompiler.py
141,long parameters,7,5,../input_projects/multi_projects/jython/lib-python/2.7/distutils/command/config.py
196,long parameters,6,5,../input_projects/multi_projects/jython/lib-python/2.7/distutils/command/config.py
241,long parameters,7,5,../input_projects/multi_projects/jython/lib-python/2.7/distutils/command/config.py
260,long parameters,7,5,../input_projects/multi_projects/jython/lib-python/2.7/distutils/command/config.py
285,long parameters,8,5,../input_projects/multi_projects/jython/lib-python/2.7/distutils/command/config.py
319,long parameters,6,5,../input_projects/multi_projects/jython/lib-python/2.7/distutils/command/config.py
21,long parameters,8,5,../input_projects/multi_projects/jython/lib-python/2.7/distutils/command/check.py
77,long parameters,7,5,../input_projects/multi_projects/jython/lib-python/2.7/distutils/emxccompiler.py
91,long parameters,14,5,../input_projects/multi_projects/jython/lib-python/2.7/distutils/emxccompiler.py
103,long parameters,8,5,../input_projects/multi_projects/jython/lib-python/2.7/distutils/dir_util.py
81,long parameters,9,5,../input_projects/multi_projects/jython/lib-python/2.7/distutils/bcppcompiler.py
146,long parameters,6,5,../input_projects/multi_projects/jython/lib-python/2.7/distutils/bcppcompiler.py
171,long parameters,14,5,../input_projects/multi_projects/jython/lib-python/2.7/distutils/bcppcompiler.py
362,long parameters,7,5,../input_projects/multi_projects/jython/lib-python/2.7/distutils/bcppcompiler.py
66,long parameters,6,5,../input_projects/multi_projects/jython/lib-python/2.7/lib-tk/tkFont.py
1466,long parameters,6,5,../input_projects/multi_projects/jython/lib-python/2.7/lib-tk/ttk.py
1557,long parameters,6,5,../input_projects/multi_projects/jython/lib-python/2.7/lib-tk/ttk.py
359,long parameters,6,5,../input_projects/multi_projects/jython/lib-python/2.7/lib-tk/turtle.py
523,long parameters,7,5,../input_projects/multi_projects/jython/lib-python/2.7/lib-tk/turtle.py
554,long parameters,6,5,../input_projects/multi_projects/jython/lib-python/2.7/lib-tk/turtle.py
611,long parameters,6,5,../input_projects/multi_projects/jython/lib-python/2.7/lib-tk/turtle.py
293,long parameters,6,5,../input_projects/multi_projects/jython/lib-python/2.7/lib-tk/Tix.py
980,long parameters,6,5,../input_projects/multi_projects/jython/lib-python/2.7/lib-tk/Tkinter.py
1725,long parameters,7,5,../input_projects/multi_projects/jython/lib-python/2.7/lib-tk/Tkinter.py
2021,long parameters,6,5,../input_projects/multi_projects/jython/lib-python/2.7/lib-tk/Tkinter.py
2189,long parameters,6,5,../input_projects/multi_projects/jython/lib-python/2.7/lib-tk/Tkinter.py
2195,long parameters,6,5,../input_projects/multi_projects/jython/lib-python/2.7/lib-tk/Tkinter.py
2199,long parameters,6,5,../input_projects/multi_projects/jython/lib-python/2.7/lib-tk/Tkinter.py
3078,long parameters,11,5,../input_projects/multi_projects/jython/lib-python/2.7/lib-tk/Tkinter.py
3204,long parameters,6,5,../input_projects/multi_projects/jython/lib-python/2.7/lib-tk/Tkinter.py
3242,long parameters,6,5,../input_projects/multi_projects/jython/lib-python/2.7/lib-tk/Tkinter.py
174,long parameters,7,5,../input_projects/multi_projects/jython/lib-python/2.7/lib-tk/tkSimpleDialog.py
9,long parameters,8,5,../input_projects/multi_projects/jython/lib-python/2.7/lib-tk/SimpleDialog.py
45,long parameters,6,5,../input_projects/multi_projects/jython/lib-python/2.7/gzip.py
349,long parameters,6,5,../input_projects/multi_projects/jython/lib-python/2.7/ctypes/__init__.py
131,long parameters,7,5,../input_projects/multi_projects/jython/lib-python/2.7/urllib2.py
181,long parameters,6,5,../input_projects/multi_projects/jython/lib-python/2.7/urllib2.py
226,long parameters,6,5,../input_projects/multi_projects/jython/lib-python/2.7/urllib2.py
555,long parameters,6,5,../input_projects/multi_projects/jython/lib-python/2.7/urllib2.py
566,long parameters,7,5,../input_projects/multi_projects/jython/lib-python/2.7/urllib2.py
600,long parameters,6,5,../input_projects/multi_projects/jython/lib-python/2.7/urllib2.py
906,long parameters,6,5,../input_projects/multi_projects/jython/lib-python/2.7/urllib2.py
917,long parameters,6,5,../input_projects/multi_projects/jython/lib-python/2.7/urllib2.py
1095,long parameters,6,5,../input_projects/multi_projects/jython/lib-python/2.7/urllib2.py
1108,long parameters,6,5,../input_projects/multi_projects/jython/lib-python/2.7/urllib2.py
1433,long parameters,7,5,../input_projects/multi_projects/jython/lib-python/2.7/urllib2.py
1455,long parameters,7,5,../input_projects/multi_projects/jython/lib-python/2.7/urllib2.py
222,long parameters,6,5,../input_projects/multi_projects/jython/lib-python/2.7/trace.py
451,long parameters,10,5,../input_projects/multi_projects/jython/lib-python/2.7/trace.py
101,long parameters,7,5,../input_projects/multi_projects/jython/lib-python/2.7/nntplib.py
26,long parameters,6,5,../input_projects/multi_projects/jython/lib-python/2.7/DocXMLRPCServer.py
67,long parameters,8,5,../input_projects/multi_projects/jython/lib-python/2.7/DocXMLRPCServer.py
251,long parameters,7,5,../input_projects/multi_projects/jython/lib-python/2.7/DocXMLRPCServer.py
