Line,Smell,Number of Lines,Threshold_nol,Number of Children,Threshold_noc,File
372,long class,1082,200,145,20,../input_projects/multi_projects/jython/lib-python/2.7/lib-tk/Tkinter.py
1519,long class,199,200,28,20,../input_projects/multi_projects/jython/lib-python/2.7/lib-tk/Tkinter.py
2164,long class,239,200,56,20,../input_projects/multi_projects/jython/lib-python/2.7/lib-tk/Tkinter.py
2633,long class,119,200,35,20,../input_projects/multi_projects/jython/lib-python/2.7/lib-tk/Tkinter.py
2864,long class,324,200,53,20,../input_projects/multi_projects/jython/lib-python/2.7/lib-tk/Tkinter.py
13,long class,74,200,27,20,../input_projects/multi_projects/jython/lib-python/2.7/lib-tk/Canvas.py
126,long class,68,200,31,20,../input_projects/multi_projects/jython/lib-python/2.7/lib-tk/Canvas.py
36,long class,448,200,24,20,../input_projects/multi_projects/jython/lib-python/2.7/gzip.py
5,long class,143,200,24,20,../input_projects/multi_projects/jython/lib-python/2.7/ctypes/test/test_callbacks.py
45,long class,359,200,22,20,../input_projects/multi_projects/jython/lib-python/2.7/ctypes/test/test_structures.py
9,long class,180,200,31,20,../input_projects/multi_projects/jython/lib-python/2.7/ctypes/test/test_cfuncs.py
53,long class,208,200,16,20,../input_projects/multi_projects/jython/lib-python/2.7/ctypes/test/test_bitfields.py
16,long class,275,200,12,20,../input_projects/multi_projects/jython/lib-python/2.7/ctypes/test/test_byteswap.py
27,long class,378,200,28,20,../input_projects/multi_projects/jython/lib-python/2.7/ctypes/test/test_functions.py
450,long class,203,200,12,20,../input_projects/multi_projects/jython/lib-python/2.7/trace.py
100,long class,512,200,35,20,../input_projects/multi_projects/jython/lib-python/2.7/nntplib.py
13,long class,118,200,56,20,../input_projects/multi_projects/jython/lib-python/2.7/UserString.py
10,long class,285,200,16,20,../input_projects/multi_projects/jython/lib-python/2.7/unittest/test/test_result.py
8,long class,1274,200,86,20,../input_projects/multi_projects/jython/lib-python/2.7/unittest/test/test_loader.py
6,long class,158,200,22,20,../input_projects/multi_projects/jython/lib-python/2.7/unittest/test/test_skipping.py
12,long class,493,200,64,20,../input_projects/multi_projects/jython/lib-python/2.7/unittest/test/test_setups.py
17,long class,246,200,22,20,../input_projects/multi_projects/jython/lib-python/2.7/unittest/test/test_break.py
44,long class,1076,200,80,20,../input_projects/multi_projects/jython/lib-python/2.7/unittest/test/test_case.py
8,long class,364,200,31,20,../input_projects/multi_projects/jython/lib-python/2.7/unittest/test/test_discovery.py
23,long class,340,200,40,20,../input_projects/multi_projects/jython/lib-python/2.7/unittest/test/test_suite.py
105,long class,177,200,28,20,../input_projects/multi_projects/jython/lib-python/2.7/unittest/test/test_assertions.py
38,long class,254,200,12,20,../input_projects/multi_projects/jython/lib-python/2.7/unittest/loader.py
133,long class,883,200,59,20,../input_projects/multi_projects/jython/lib-python/2.7/unittest/case.py
61,long class,231,200,21,20,../input_projects/multi_projects/jython/lib-python/2.7/formatter.py
14,long class,428,200,41,20,../input_projects/multi_projects/jython/lib-python/2.7/bdb.py
55,long class,349,200,18,20,../input_projects/multi_projects/jython/lib-python/2.7/cmd.py
40,long class,298,200,8,20,../input_projects/multi_projects/jython/lib-python/2.7/textwrap.py
72,long class,400,200,27,20,../input_projects/multi_projects/jython/lib-python/2.7/HTMLParser.py
42,long class,231,200,15,20,../input_projects/multi_projects/jython/lib-python/2.7/StringIO.py
23,long class,425,200,87,20,../input_projects/multi_projects/jython/lib-python/2.7/htmllib.py
13,long class,281,200,22,20,../input_projects/multi_projects/jython/lib-python/2.7/test/test_parser.py
302,long class,239,200,9,20,../input_projects/multi_projects/jython/lib-python/2.7/test/test_parser.py
121,long class,266,200,15,20,../input_projects/multi_projects/jython/lib-python/2.7/test/test_cgi.py
199,long class,188,200,24,20,../input_projects/multi_projects/jython/lib-python/2.7/test/test_strptime.py
32,long class,132,200,21,20,../input_projects/multi_projects/jython/lib-python/2.7/test/test_funcattrs.py
27,long class,184,200,22,20,../input_projects/multi_projects/jython/lib-python/2.7/test/test_binop.py
12,long class,385,200,22,20,../input_projects/multi_projects/jython/lib-python/2.7/test/test_descr.py
399,long class,4234,200,362,20,../input_projects/multi_projects/jython/lib-python/2.7/test/test_descr.py
34,long class,377,200,11,20,../input_projects/multi_projects/jython/lib-python/2.7/test/test_pprint.py
10,long class,524,200,32,20,../input_projects/multi_projects/jython/lib-python/2.7/test/list_tests.py
28,long class,382,200,25,20,../input_projects/multi_projects/jython/lib-python/2.7/test/test_posixpath.py
114,long class,485,200,28,20,../input_projects/multi_projects/jython/lib-python/2.7/test/test_fractions.py
