Line,Smell,Number of Parameters,Threshold,File
92,long parameters,6,5,../input_projects/py_projects/nltk/nltk/corpus/reader/semcor.py
102,long parameters,6,5,../input_projects/py_projects/nltk/nltk/corpus/reader/semcor.py
218,long parameters,7,5,../input_projects/py_projects/nltk/nltk/corpus/reader/semcor.py
91,long parameters,6,5,../input_projects/py_projects/nltk/nltk/corpus/reader/bnc.py
96,long parameters,6,5,../input_projects/py_projects/nltk/nltk/corpus/reader/bnc.py
169,long parameters,6,5,../input_projects/py_projects/nltk/nltk/corpus/reader/bnc.py
116,long parameters,6,5,../input_projects/py_projects/nltk/nltk/parse/bllip.py
22,long parameters,6,5,../input_projects/py_projects/nltk/nltk/parse/util.py
1239,long parameters,7,5,../input_projects/py_projects/nltk/nltk/parse/chart.py
1287,long parameters,6,5,../input_projects/py_projects/nltk/nltk/parse/chart.py
1573,long parameters,7,5,../input_projects/py_projects/nltk/nltk/parse/chart.py
80,long parameters,7,5,../input_projects/py_projects/nltk/nltk/parse/stanford.py
283,long parameters,6,5,../input_projects/py_projects/nltk/nltk/parse/nonprojectivedependencyparser.py
48,long parameters,6,5,../input_projects/py_projects/nltk/nltk/parse/featurechart.py
428,long parameters,6,5,../input_projects/py_projects/nltk/nltk/parse/featurechart.py
534,long parameters,7,5,../input_projects/py_projects/nltk/nltk/parse/featurechart.py
36,long parameters,6,5,../input_projects/py_projects/nltk/nltk/parse/projectivedependencyparser.py
264,long parameters,6,5,../input_projects/py_projects/nltk/nltk/parse/earleychart.py
380,long parameters,6,5,../input_projects/py_projects/nltk/nltk/parse/earleychart.py
412,long parameters,6,5,../input_projects/py_projects/nltk/nltk/parse/earleychart.py
123,long parameters,19,5,../input_projects/py_projects/nltk/nltk/tbl/demo.py
307,long parameters,10,5,../input_projects/py_projects/nltk/nltk/treeprettyprinter.py
772,long parameters,6,5,../input_projects/py_projects/nltk/nltk/grammar.py
9,long parameters,11,5,../input_projects/py_projects/nltk/nltk/align/phrase_based.py
93,long parameters,6,5,../input_projects/py_projects/nltk/nltk/align/gale_church.py
260,long parameters,6,5,../input_projects/py_projects/nltk/nltk/align/ibm3.py
331,long parameters,6,5,../input_projects/py_projects/nltk/nltk/align/ibm3.py
90,long parameters,7,5,../input_projects/py_projects/nltk/nltk/inference/tableau.py
106,long parameters,7,5,../input_projects/py_projects/nltk/nltk/inference/tableau.py
122,long parameters,7,5,../input_projects/py_projects/nltk/nltk/inference/tableau.py
132,long parameters,7,5,../input_projects/py_projects/nltk/nltk/inference/tableau.py
142,long parameters,7,5,../input_projects/py_projects/nltk/nltk/inference/tableau.py
157,long parameters,7,5,../input_projects/py_projects/nltk/nltk/inference/tableau.py
173,long parameters,7,5,../input_projects/py_projects/nltk/nltk/inference/tableau.py
185,long parameters,7,5,../input_projects/py_projects/nltk/nltk/inference/tableau.py
189,long parameters,7,5,../input_projects/py_projects/nltk/nltk/inference/tableau.py
193,long parameters,7,5,../input_projects/py_projects/nltk/nltk/inference/tableau.py
197,long parameters,7,5,../input_projects/py_projects/nltk/nltk/inference/tableau.py
202,long parameters,7,5,../input_projects/py_projects/nltk/nltk/inference/tableau.py
207,long parameters,7,5,../input_projects/py_projects/nltk/nltk/inference/tableau.py
212,long parameters,7,5,../input_projects/py_projects/nltk/nltk/inference/tableau.py
