Line,Smell,Number of Lines,Threshold_nol,Number of Children,Threshold_noc,File
26,long class,366,200,20,20,../input_projects/py_projects/nltk/nltk/draw/tree.py
449,long class,298,200,16,20,../input_projects/py_projects/nltk/nltk/draw/tree.py
136,long class,373,200,24,20,../input_projects/py_projects/nltk/nltk/draw/cfg.py
50,long class,646,200,34,20,../input_projects/py_projects/nltk/nltk/draw/util.py
1627,long class,210,200,12,20,../input_projects/py_projects/nltk/nltk/draw/util.py
1997,long class,255,200,18,20,../input_projects/py_projects/nltk/nltk/draw/util.py
22,long class,507,200,41,20,../input_projects/py_projects/nltk/nltk/draw/table.py
535,long class,514,200,33,20,../input_projects/py_projects/nltk/nltk/draw/table.py
23,long class,385,200,7,20,../input_projects/py_projects/nltk/nltk/tag/brill_trainer_orig.py
23,long class,403,200,7,20,../input_projects/py_projects/nltk/nltk/tag/tnt.py
26,long class,582,200,15,20,../input_projects/py_projects/nltk/nltk/tag/brill_trainer.py
193,long class,231,200,13,20,../input_projects/py_projects/nltk/nltk/tag/brill.py
99,long class,712,200,31,20,../input_projects/py_projects/nltk/nltk/tag/hmm.py
814,long class,276,200,5,20,../input_projects/py_projects/nltk/nltk/tag/hmm.py
24,long class,333,200,11,20,../input_projects/py_projects/nltk/nltk/tokenize/texttiling.py
607,long class,572,200,20,20,../input_projects/py_projects/nltk/nltk/tokenize/punkt.py
1187,long class,387,200,17,20,../input_projects/py_projects/nltk/nltk/tokenize/punkt.py
979,long class,426,200,19,20,../input_projects/py_projects/nltk/nltk/data.py
