Line,Smell,Number of Lines,Threshold_nol,Number of Children,Threshold_noc,File
285,long class,218,200,12,20,../input_projects/multi_projects/wagtail/wagtail/tests/test_page_model.py
517,long class,214,200,8,20,../input_projects/multi_projects/wagtail/wagtail/tests/test_page_model.py
1232,long class,965,200,37,20,../input_projects/multi_projects/wagtail/wagtail/tests/test_page_model.py
2200,long class,505,200,19,20,../input_projects/multi_projects/wagtail/wagtail/tests/test_page_model.py
121,long class,342,200,20,20,../input_projects/multi_projects/wagtail/wagtail/tests/test_workflow.py
42,long class,240,200,9,20,../input_projects/multi_projects/wagtail/wagtail/tests/test_telepath.py
148,long class,510,200,13,20,../input_projects/multi_projects/wagtail/wagtail/tests/test_collection_permission_policies.py
661,long class,566,200,13,20,../input_projects/multi_projects/wagtail/wagtail/tests/test_collection_permission_policies.py
1230,long class,355,200,14,20,../input_projects/multi_projects/wagtail/wagtail/tests/test_collection_permission_policies.py
27,long class,831,200,31,20,../input_projects/multi_projects/wagtail/wagtail/tests/test_page_permissions.py
28,long class,229,200,22,20,../input_projects/multi_projects/wagtail/wagtail/tests/tests.py
281,long class,203,200,8,20,../input_projects/multi_projects/wagtail/wagtail/tests/tests.py
138,long class,383,200,13,20,../input_projects/multi_projects/wagtail/wagtail/tests/test_page_permission_policies.py
292,long class,235,200,11,20,../input_projects/multi_projects/wagtail/wagtail/tests/test_permission_policies.py
530,long class,383,200,11,20,../input_projects/multi_projects/wagtail/wagtail/tests/test_permission_policies.py
916,long class,523,200,11,20,../input_projects/multi_projects/wagtail/wagtail/tests/test_permission_policies.py
15,long class,211,200,12,20,../input_projects/multi_projects/wagtail/wagtail/admin/viewsets/chooser.py
23,long class,636,200,57,20,../input_projects/multi_projects/wagtail/wagtail/admin/viewsets/model.py
17,long class,353,200,22,20,../input_projects/multi_projects/wagtail/wagtail/admin/panels/field_panel.py
130,long class,240,200,14,20,../input_projects/multi_projects/wagtail/wagtail/admin/panels/field_panel.py
51,long class,275,200,27,20,../input_projects/multi_projects/wagtail/wagtail/admin/panels/base.py
9,long class,315,200,13,20,../input_projects/multi_projects/wagtail/wagtail/admin/tests/ui/test_tables.py
221,long class,207,200,8,20,../input_projects/multi_projects/wagtail/wagtail/admin/tests/test_workflows.py
431,long class,274,200,10,20,../input_projects/multi_projects/wagtail/wagtail/admin/tests/test_workflows.py
1213,long class,547,200,20,20,../input_projects/multi_projects/wagtail/wagtail/admin/tests/test_workflows.py
1945,long class,492,200,19,20,../input_projects/multi_projects/wagtail/wagtail/admin/tests/test_workflows.py
2623,long class,241,200,11,20,../input_projects/multi_projects/wagtail/wagtail/admin/tests/test_workflows.py
3143,long class,232,200,14,20,../input_projects/multi_projects/wagtail/wagtail/admin/tests/test_workflows.py
239,long class,371,200,27,20,../input_projects/multi_projects/wagtail/wagtail/admin/tests/test_account_management.py
771,long class,238,200,12,20,../input_projects/multi_projects/wagtail/wagtail/admin/tests/test_account_management.py
16,long class,314,200,11,20,../input_projects/multi_projects/wagtail/wagtail/admin/tests/test_audit_log.py
81,long class,239,200,13,20,../input_projects/multi_projects/wagtail/wagtail/admin/tests/test_buttons_hooks.py
493,long class,224,200,6,20,../input_projects/multi_projects/wagtail/wagtail/admin/tests/test_edit_handlers.py
810,long class,208,200,15,20,../input_projects/multi_projects/wagtail/wagtail/admin/tests/test_edit_handlers.py
1313,long class,209,200,5,20,../input_projects/multi_projects/wagtail/wagtail/admin/tests/test_edit_handlers.py
1633,long class,311,200,10,20,../input_projects/multi_projects/wagtail/wagtail/admin/tests/test_edit_handlers.py
2212,long class,332,200,20,20,../input_projects/multi_projects/wagtail/wagtail/admin/tests/test_edit_handlers.py
38,long class,1793,200,39,20,../input_projects/multi_projects/wagtail/wagtail/admin/tests/test_contentstate.py
1834,long class,251,200,7,20,../input_projects/multi_projects/wagtail/wagtail/admin/tests/test_contentstate.py
38,long class,693,200,46,20,../input_projects/multi_projects/wagtail/wagtail/admin/tests/api/test_pages.py
734,long class,372,200,16,20,../input_projects/multi_projects/wagtail/wagtail/admin/tests/api/test_pages.py
1196,long class,212,200,14,20,../input_projects/multi_projects/wagtail/wagtail/admin/tests/api/test_pages.py
27,long class,399,200,12,20,../input_projects/multi_projects/wagtail/wagtail/admin/tests/test_menu.py
109,long class,237,200,20,20,../input_projects/multi_projects/wagtail/wagtail/admin/tests/test_page_chooser.py
578,long class,209,200,16,20,../input_projects/multi_projects/wagtail/wagtail/admin/tests/test_page_chooser.py
167,long class,754,200,20,20,../input_projects/multi_projects/wagtail/wagtail/admin/tests/test_compare.py
1172,long class,255,200,5,20,../input_projects/multi_projects/wagtail/wagtail/admin/tests/test_compare.py
10,long class,306,200,11,20,../input_projects/multi_projects/wagtail/wagtail/admin/tests/test_privacy.py
54,long class,2032,200,56,20,../input_projects/multi_projects/wagtail/wagtail/admin/tests/pages/test_edit_page.py
3198,long class,661,200,14,20,../input_projects/multi_projects/wagtail/wagtail/admin/tests/pages/test_edit_page.py
88,long class,327,200,10,20,../input_projects/multi_projects/wagtail/wagtail/admin/tests/pages/test_preview.py
12,long class,333,200,17,20,../input_projects/multi_projects/wagtail/wagtail/admin/tests/pages/test_page_locking.py
32,long class,1234,200,53,20,../input_projects/multi_projects/wagtail/wagtail/admin/tests/pages/test_create_page.py
17,long class,783,200,25,20,../input_projects/multi_projects/wagtail/wagtail/admin/tests/pages/test_copy_page.py
22,long class,794,200,47,20,../input_projects/multi_projects/wagtail/wagtail/admin/tests/pages/test_explorer_view.py
16,long class,207,200,9,20,../input_projects/multi_projects/wagtail/wagtail/admin/tests/pages/test_bulk_actions/test_bulk_publish.py
16,long class,305,200,10,20,../input_projects/multi_projects/wagtail/wagtail/admin/tests/pages/test_bulk_actions/test_bulk_move.py
17,long class,347,200,14,20,../input_projects/multi_projects/wagtail/wagtail/admin/tests/pages/test_bulk_actions/test_bulk_delete.py
15,long class,351,200,18,20,../input_projects/multi_projects/wagtail/wagtail/admin/tests/pages/test_delete_page.py
14,long class,276,200,16,20,../input_projects/multi_projects/wagtail/wagtail/admin/tests/pages/test_page_search.py
16,long class,248,200,13,20,../input_projects/multi_projects/wagtail/wagtail/admin/tests/pages/test_move_page.py
256,long class,244,200,10,20,../input_projects/multi_projects/wagtail/wagtail/admin/tests/test_reports_views.py
178,long class,228,200,4,20,../input_projects/multi_projects/wagtail/wagtail/admin/views/chooser.py
216,long class,483,200,32,20,../input_projects/multi_projects/wagtail/wagtail/admin/views/generic/mixins.py
61,long class,423,200,29,20,../input_projects/multi_projects/wagtail/wagtail/admin/views/generic/models.py
677,long class,211,200,22,20,../input_projects/multi_projects/wagtail/wagtail/admin/views/generic/models.py
180,long class,266,200,21,20,../input_projects/multi_projects/wagtail/wagtail/admin/views/generic/base.py
65,long class,389,200,18,20,../input_projects/multi_projects/wagtail/wagtail/admin/views/pages/create.py
43,long class,900,200,32,20,../input_projects/multi_projects/wagtail/wagtail/admin/views/pages/edit.py
122,long class,320,200,15,20,../input_projects/multi_projects/wagtail/wagtail/admin/views/pages/listing.py
1129,long class,1570,200,76,20,../input_projects/multi_projects/wagtail/wagtail/models/__init__.py
2955,long class,262,200,20,20,../input_projects/multi_projects/wagtail/wagtail/models/__init__.py
3722,long class,394,200,17,20,../input_projects/multi_projects/wagtail/wagtail/models/__init__.py
4152,long class,206,200,9,20,../input_projects/multi_projects/wagtail/wagtail/models/__init__.py
88,long class,624,200,21,20,../input_projects/multi_projects/wagtail/wagtail/models/reference_index.py
